,conversation
3191,Then y'haven't. You're burning your tomatoes.
3192,You're one to talk.
3193,"Joe, your dad's in love big time. And the worst part of it is, it's with two different women."
3194,Oh man. Please tell me one of 'em is Ma.
3195,"Of course, course one of 'em's Ma. What's the matter with you."
3196,"Monica and Rachel's, Joey is lamenting to everyone about hid dad's affair.]"
3197,"It's like if you woke up one day and found out your dad was leading this double life. He's like actually some spy, working for the C.I.A.  That'd be cool.... This blows!"
3198,"I know, I mean, why can't parents just stay parents?  Why do they have to become people? Why do they have...  Why can't you stop staring at my breasts?"
3199,What?  What?
3200,Did you not get a good enough look the other day?
3201,"Alright, alright. We're all adults here, there's only one way to resolve this. Since you saw her boobies, I think, uh, you're gonna have to show her your peepee."
3202,"Y'know, I don't see that happening?"
3203,"C'mon, he's right. Tit for tat."
3204,Well I'm not showing you my 'tat.'
3205,Hello?
3206,It's Phoebe.
3207,And Rog.
3208,C'mon up.
3209,"Oh, good. Rog is here."
3210,What's the matter with Rog?
3211,Yeah.
3212,"Oh, it's nothing, it's a little thing... I hate that guy."
3213,"What, so he was a little analytical. That's what he does, y'know? C'mon, he's not that bad."
3214,"Y'see, that's where you're wrong. Why would I marry her if I thought on any level thatthat she was a lesbian?"
3215,I dunno. Maybe you wanted your marriage to fail.
3216,Why? Why would I why? Why? Why? Why?
3217,"I don't know. Maybe maybe low self-esteem, maybe maybe to compensate for overshadowing a sibling, maybe you..."
3218,"Wait-wait, go back to that sibling thing."
3219,"Well, I don't know. I mean, it's conceivable that you wanted to sabotage your marriage so that the sibling would feel less of a failure in the eyes of the parents."
3220,That that's ridiculous! I don't feel guilty for her failures!
3221,Oh! So you think I'm a failure!
3222,Isn't he good?
3223,"Nonono, thatthat's not what I was saying..."
3224,"Y'know, all these years, I thought you were on my side. But maybe what you were doing was sucking up to Mom and Dad so they'd keep liking you better!"
3225,"Hey, I married a lesbian to make you look good!"
3226,"You're right! I mean you're right! It wasn't just the Weebles, but it was the Weeble Play Palace, and and the Weebles' Cruise Ship. Oh, which had this little lifeboat for the Weebles to wobble in."
3227,"That's tough. Tough stuff. C'mon, Pheebs, we're gonna catch that movie, we gotta get going."
3228,"Oh, okay. Feel better, Rachel, 'kay?"
3229,"Geez, we're gonna be late, sweetie..."
3230,"Oh, okay. Listen, thanks for everything, Mon."
3231,You're welcome.
3232,"Listen guys, it was great seeing you again. Mon, um, easy on those cookies, okay? Remember, they're just food, they're not love."
3233,Hate that guy!
3234,"The Hallway, Chandler and Joey are just leaving Monica and Rachel's.]"
3235,"Night, you guys."
3236,"Oh look, it's the woman we ordered."
3237,"Hey. Can, uh, can we help you?"
3238,"Oh, no thanks, I'm just waiting for, uh, Joey Tribbiani."
3239,I'm Joey Tribbiani.
3240,"Oh no, not you, big Joey. Oh my God, you're so much cuter than your pictures!  I-I'm, I'm Ronni....Cheese Nip?"
3241,"Uh, Joey's having an embolism, but I'd go for a Nip, y'know?"
3242,"Chandler and Joey's, Ronni is talking to Chandler. Joey's dad is not around.]"
3243,"Now, y'see, most people, when their pets pass on, they want 'em sorta laid out like they're sleeping. But occasionally you get your person who wants them in a pose. Like, chasing their tail,  or, uh, jumping to catch a frisbee."
3244,"Joey, if I go first, I wanna be looking for my keys."
3245,That's a good one!
3246,"Hey, Joe."
3247,"Dad, Ronni's here."
3248,Huh?
3249,Hi.
3250,"Hey! Hello, babe! Wh what're what're you doing here?"
3251,"Oh, uh, well, you left your good hair at my apartment, I figured you'd need it tomorrow for your meeting."
3252,Thank you. Uh...
3253,"So, who's up for a big game of Kerplunk?"
3254,"Look, I uh, I shouldn'ta come. I-I'd better get going, I don't wanna miss the last train."
3255,I don't want you taking that thing.
3256,"Oh, where'm I gonna stay, here?"
3257,Who-ah-ho.
3258,We'll go to a hotel.
3259,We'll go to a hotel.
3260,No you won't.
3261,No we won't.
3262,If you go to a hotel you'll be...doing stuff. I want you right here where I can keep an eye on you.
3263,You're gonna keep an eye on us?
3264,"That's right, mister, and I don't care how old you are, as long as you're under my roof you're gonna live by my rules. And that means no sleeping with your girlfriend."
3265,Wow. He's strict.
3266,"Now dad, you'll be in my room, Ronni uh, you can stay in Chandler's room."
3267,"Thanks. You're, uh, you're a good kid."
3268,"C'mon, I'll show you to my room. ...That sounds so weird when it's not followed by ""No thanks, it's late."""
3269,"Okay. Now this is just for tonight. Starting tomorrow, you gotta make a change. This has gone on long enough."
3270,What kinda change?
3271,"Well, either you break it off with Ronni"
3272,I can't do that!
3273,Then you gotta come clean with Ma! This is not right!
3274,"Yeah, but this is"
3275,I don't wanna hear it! Now go to my room!
3276,"Chandler and Joey's, night. Chandler and Joey are sharing the sofabed in the living room. Joey is restless.]"
3277,"Hey, Kicky. What're you doing?"
3278,Just trying to get comfortable. I can't sleep in my underwear.
3279,"Well, you're gonna."
3280,"I've been thinking. Y'know, about how I'm always seeing girls on top of girls..."
3281,"Are they end to end, or tall like pancakes?"
3282,"Y'know what I mean, about how I'm always going out with all these women. And I always figured, when the right one comes along, I'd be able to be a stand-up guy and go the distance, y'know? Now I'm looking at my dad, thinking..."
3283,"Hey, you're not him. You're you. When they were all over you to go into your father's pipe-fitting business, did you cave?"
3284,No.
3285,"No. You decided to go into the out-of-work actor business. Now that wasn't easy, but you did it! And I'd like to believe that when the right woman comes along, you will have the courage and the guts to say ""No thanks, I'm married."""
3286,You really think so?
3287,Yeah. I really do.
3288,"Thanks, Chandler."
3289,Get off!
3290,"Monica and Rachel's, morning. Someone knocks on the door and Monica gets it.]"
3291,Hi.
3292,Hi...May I help you?
3293,"Yeah, uh, Joey said I could use your shower, since, uh, Chandler's in ours?"
3294,Okay...who are you?
3295,"Oh, I'm Ronni. Ronni Rappelano? The mistress?"
3296,"Oh, c'mon in."
3297,Thanks.
3298,"Hi, I'm Rachel."
3299,Hi.
3300,Bathroom's up there.
3301,Great.
3302,"Hey, listen, Ronni, how long would you say Chandler's been in the shower?"
3303,"Oh, like, uh, five minutes?"
3304,"Perfect. Fasten your seatbelts, it's peepee time.  Hey, Mr. Trib."
3305,"Hey. Morning, dear."
3306,Chandler Bing? It's time to see your thing.
3307,What's the matter with you?!
3308,I thought it was Chandler!
3309,What? What?
3310,You were supposed to be in there so I could see your thing!
3311,"Sorry, my my thing was in there with me."
3312,"Central Perk, everyone is there as Phoebe enters.]"
3313,"Hey, Pheebs."
3314,Hey.
3315,How's it going?
3316,Good. Oh oh! Roger's having a dinner thing and he wanted me to invite you guys.
3317,So what's going on?
3318,"Nothing, um, it's just, um... It's Roger."
3319,"I dunno, there's just something about..."
3320,Basically we just feel that he's...
3321,We hate that guy.
3322,Yeah. Hate him.
3323,"We're sorry, Pheebs, we're sorry."
3324,"Uh-huh. Okay. Okay, don't you think, maybe, though, it's just that he's so perceptive that it freaks you out?"
3325,"...No, we hate him."
3326,We're sorry.
3327,"Chandler and Joey's apartment, Joey is trying to turn the sofabed back into a sofa. Someone knocks on the door and it rears up at him.]"
3328,Ma! What're you doing here?
3329,I came to give you this  and this.
3330,Oww! Big ring!
3331,"Why did you have to fill your father's head with all that garbage about making things right? Things were fine the way they were! There's chicken in there, put it away. For God's sake, Joey, really."
3332,"Hold on, you-you knew?"
3333,"Of course I knew! What did you think? Your father is no James Bond. You should've heard some of his cover stories. ""I'm sleeping over at my accountant's,"" I mean, what is that? Please!"
3334,"So then how could you I mean, how could you?!"
3335,"Do you remember how your father used to be? Always yelling, always yelling nothing made him happy, nothing made him happy, not that wood shop, not those stupid little ships in the bottle, nothing. Now he's happy! I mean, it's nice, he has a hobby."
3336,"Ma, I don't mean to be disrespectful, but... what the hell are you talking about?! I mean, what about you?"
3337,"Me? I'm fine. Look, honey, in an ideal world, there'd be no her, and your father would look like Sting. And I'll tell you something else. Ever since that poodle-stuffer came along, he's been so ashamed of himself that he's been more attentive, he's been more loving... I mean, it's like every day's our anniversary."
3338,I'm...happy...for you?
3339,"Well don't be, because now everything's screwed up. I just want it the way it was."
3340,"Ma, I'm sorry. I just did what I thought you'd want."
3341,"I know you did, cookie. Oh, I know you did. So tell me. Did you see her?"
3342,Yeah. You're ten times prettier than she is.
3343,That's sweet. Could I take her?
3344,With this ring?  No contest.
3345,Central Perk. Phoebe is there with Roger.]
3346,"What's wrong, sweetie?"
3347,"Nothing, nothing."
3348,"Aaaah, what's wrong, c'mon."
3349,"It's, I mean, it's nothing, I'm fine. It's my friends. They-they have a liking problem with you. In that, um, they don't."
3350,Oh. They don't.
3351,But they don't see all the wonderfulness that I see. They don't see all the good stuff and all the sweet stuff. They just think you're a little...
3352,What?
3353,Intense and creepy.
3354,Oh.
3355,"But I don't. Me, Phoebe."
3356,"Well, I'm not I'm not at all surprised they feel that way."
3357,"You're not? See, that's why you're so great!"
3358,"Actually it's, it's quite, y'know, typical behaviour when you have this kind of dysfunctional group dynamic. Y'know, this kind of co-dependant, emotionally stunted, sitting in your stupid coffee house with your stupid big cups which, I'm sorry, might as well have nipples on them, and you're like all 'Oh, define me! Define me! Love me, I need love!'."
3359,"Monica and Rachel's, Joey is letting everyone in on the new developments.]"
3360,"So you talked to your dad, huh."
3361,"Yeah. He's gonna keep cheating on my ma like she wanted, she's gonna keep pretending she doesn't know even though she does, and my little sister Tina can't see her husband any more because he got a restraining order...which has nothing to do with anything except that I found out today."
3362,Wow.
3363,Things sure have changed here on Waltons mountain.
3364,"So Joey, you okay?"
3365,"Yeah, I guess. It's just parents, after a certain point, you gotta let go. Even if you know better, you've gotta let them make their own mistakes."
3366,"Just think, in a couple of years we get to turn into them."
3367,"If I turn into my parents, I'll either be an alcoholic blond chasing after twenty-year-old boys, or... I'll end up like my mom."
3368,Hey.
3369,"Hey, Pheebs."
3370,How's it going?
3371,"Oh, okay, except I broke up with Roger."
3372,Awww.
3373,"Yeah, right."
3374,Aaawwwwww!!
3375,What happened?
3376,"I don't know, I mean, he's a good person, and he can be really sweet, and in some ways I think he is so right for me, it's just... I hate that guy!"
3377,Monica and Rachel's. Phoebe is reading the paper and Joey enters.]
3378,"Hey, Joey. What's going on?"
3379,Clear the tracks for the boobie payback express. Next stop: Rachel Green.
3380,Joey!! What the hell were you doing?!
3381,Sorry. Wrong boobies.
3382,"Hello, Joey."
3383,"Oh! ...Hello, dear."
3384,"Central Perk, Ross is eyeing a beautiful woman at the counter, and Joey and Chandler are egging him on to go talk to her. No pun intended. I mean it.]"
3385,"I'm tellin' you Ross, she wants you."
3386,She barely knows me. We just live in the same building.
3387,Any contact?
3388,She lent me an egg once.
3389,You're in!
3390,"Aw, right."
3391,"Hi, Ross."
3392,Hey.
3393,"Come on, Ross, you gotta get back in the game here, ok? The Rachel thing's not happening, your ex-wife is a lesbianI don't think we need a third..."
3394,"Excuse me, could we get an egg over here, still in the shell? Thanks."
3395,An egg?
3396,"Yeah, you're gonna go up to her and say, ""Here's your egg back, I'm returning your egg."""
3397,I think it's winning.
3398,I think it's insane.
3399,"She'll love it. Go with the egg, my friend."
3400,Think it'll work?
3401,"No, it's suicide. The man's got an egg."
3402,"Central Perk, Monica, Rachel, Phoebe, Joey, Chandler are there. Ross is still talking to the beautiful woman.]"
3403,You can not do this.
3404,"Do what, do what?"
3405,Roger wants to take her out tomorrow night.
3406,No! Phoebes! Don't you remember why you dumped the guy?
3407,"'Cause he was creepy, and mean, and a little frightening... alright, still, it's nice to have a date on Valentine's Day!"
3408,"But Phoebe, you can go out with a creepy guy any night of the year. I know I do."
3409,"Well, what are you guys doing tomorrow night?"
3410,"Actually, tomorrow night kinda depends on how tonight goes."
3411,"Oh, uh, listen, about tonight..."
3412,"No, no, no, don't you dare bail on me. The only reason she's goin' out with me is because I said I could bring a friend for her friend."
3413,"Yes, I know, but her friend sounds like such a..."
3414,"Pathetic mess? I know, butcome on, man, she's needy, she's vulnerable. I'm thinkin', cha-ching!  Thanks. Look, you have not been out with a woman since Janice. You're doin' this."
3415,Hi. She said yes.
3416,"Yes! Way to go, man!  Still got the egg, huh?"
3417,"A Restaurant, Joey and Chandler are there, waiting for their dates to show up.]"
3418,How do I look?
3419,"Oh, uh, I... don't... care.  Ok, now, remember, no trading. You get the pretty one, I get the mess."
3420,"Hi, Joey. Well well, look what you brought. Very nice."
3421,...And what did you bring?
3422,"She's checking the coats. Joey, I'm gonna go wash the cab smell off my hands. Will you get me a white Zinfandel, and a glass of red for Janice."
3423,Janice?
3424,Oh.... my.... God.
3425,"Hey, it's Janice."
3426,"The bathroom at the restaurant, Chandler and Joey are talking.]"
3427,"Ok, I'm makin' a break for it, I'm goin' out the window."
3428,"No, no, no, don't! I've been waitin' for like, forever to go out with Lorraine. Just calm down."
3429,Calm down? Calm down? You set me up with the woman that I've dumped twice in the last five months!
3430,"Can you stop yellin'? You're makin' me nervous, and I can't go when I'm nervous."
3431,"I'm sorry, I'm sorry, you're right.  Come on, do it, do it, go, come on!!!"
3432,"Monica and Rachel's, the girls are all there, discussing their bad luck with men.]"
3433,"Ok, ok, Roger was creepy, but he was nothing compared to Pete Carney."
3434,Which one was Pete Carney?
3435,"Pete the Weeper? Remember that guy who used to cry every time we had sex.  ""Was it good for you?"""
3436,"Yeah, well, I'll take a little crying any day over Howard-the-""I-win""-guy.  ""I win! I win!"" I went out with the guy for two monthsI didn't get to win once."
3437,How did we end up with these jerks? We're good people!
3438,I don't know. Maybe we're some kinda magnets.
3439,I know I am. That's why I can't wear a digital watch.
3440,"There's more beer, right?"
3441,"Oh! You know my friend Abby who shaves her head? She said that if you want to break the bad boyfriend cycle, you can do like a cleansing ritual."
3442,"Pheebes, this woman is voluntarily bald."
3443,"Yeah. So, we can do it tomorrow night, you guys. It's Valentine's Day. It's perfect."
3444,"Ok, well, what kind of ritual?"
3445,"Ok. We can, um, we can burn the stuff they gave us."
3446,Or?
3447,"Or...or we can chant and dance around naked, you know, with sticks."
3448,Burning's good.
3449,"Burning's good. Yeah, I got stuff to burn."
3450,"The Restaurant, Joey, Lorraine, Chandler, and Janice are at the table. Joey and Lorraine are seated very close, Chandler and Janice have backed their chairs away from one another.]"
3451,"You know, ever since I was little, I've been able to pick up quarters with my toes."
3452,"Good for you.  Uh, quarters or rolls of quarters?"
3453,"By the way, Chandler. I cut you out of all my pictures. So if you want, I have a bag with just your heads."
3454,That's OK.
3455,"Oh, are you sure? Really? Because you know, you could make little puppets out of them, and you could use them in your theater of cruelty."
3456,We can't do that.
3457,What? What can't you do?
3458,"Uh, can I talk to you for a second, over there?"
3459,"Uh, we might be leaving now."
3460,"Tell me it's ""you and me"" we."
3461,"She said she wants to slather my body with stuff and then lick it off. I'm not even sure what slathering is, but I definitely want to be a part of it."
3462,"Ok, you can not do this to me."
3463,"You're right, I'm sorry. You're right."
3464,"Uh, can we have three chocolate mousses to go please?"
3465,"I'm outta here. Here's my credit card. Dinner's on me. I'm sorry, Chandler."
3466,I hope she throws up on you.
3467,So...
3468,Just us.
3469,"Oh, what a crappy night!"
3470,"Although, I have enjoyed the fact that, uh your shirt's been stickin' outta your zipper ever since you came back from the bathroom."
3471,Excuse me.  How ya doin'?
3472,"So, do we have the best friends or what?"
3473,Joey's not a friend. He's...a stupid man who left us his credit card. Another drink? Some dessert? A big screen TV?
3474,I will go for that drink.
3475,You got it. Good woman!  Could we get a bottle of your most overpriced champagne?
3476,Each.
3477,"That's right, each. Oh, and a uh Rob Roy.  I've always wanted to know..."
3478,"Chandler's bedroom, Chandler wakes up, and finds someone else's hand on his chest. He rolls over and is shocked to see Janice there.]"
3479,Happy Valentine's Day!
3480,"The Hallway, Chandler is trying to get Janice out of his apartment.]"
3481,"Oh, I miss you already. Can you believe this happened?"
3482,"No... no! And yet it did. Good-bye, Janice."
3483,Kiss me!
3484,"Oh, Chandler, sorry."
3485,"Ohhh, Chandler, sorry! Hey, Janice."
3486,"Hi, Monica."
3487,"Ok, well, this was very special."
3488,"Rach, come see who's out here!"
3489,"Oh my god. Janice, hi!"
3490,Janice is gonna go away now.
3491,I'll be right back.
3492,"Oh, Joey, look who it is."
3493,Whoa.
3494,"Oh, good, Joey's home now."
3495,This is so fun. This is like a reunion in the hall.
3496,"Oh, hi, Ross. Yeah. There's someone I want you to say hi to.  He just happened to call."
3497,"Hi, Ross. Yes, it's me. How did you know?"
3498,"A Chinese Restaurant, Ross is there with his date.]"
3499,"I'm just sayin' if dogs do experience jet lag, then, because of the whole um, seven dog years to one human year thing, then, when a dog flies from New York to Los Angeles, he doesn't just lose three hours, he loses like a week and a half."
3500,That's funny. Who are they?
3501,"The blond woman is my ex-wife, and the woman touching her is her... close, personal friend."
3502,You mean they're lovers.
3503,If you wanna put a label on it.
3504,"Wow, uh, anything else I should know?"
3505,"Nope, nope, that's it."
3506,"Oh, and she's pregnant with my baby. I always forget that part.  Helloo!"
3507,"Monica and Rachel's, the girls are holding their boyfriend bonfire.]"
3508,"Ok, so now we need, um sage branches and the sacramental wine."
3509,"All I have is, is oregano and a Fresca."
3510,"Um, that's ok!  Ok. All right. Now we need the semen of a righteous man."
3511,"Ok, Pheebs, you know what, if we had that, we wouldn't be doing the ritual in the first place."
3512,Can we just start throwing things in?
3513,"Ok, yeah, ok.  Oh, OK."
3514,"Ok, Barry's letters. Adam Ritter's boxer shorts."
3515,"Ok, and I have the, uh receipt for my dinner with Nokululu Oon Ah Ah."
3516,"Look, here's a picture of Scotty Jared naked."
3517,Hey he's wearing a sweater.
3518,No.
3519,Eww!
3520,And here we have the last of Paulo's grappa.
3521,"Hey, Rachel, isn't that stuff almost pure..."
3522,"Central Perk, Chandler and Joey are there. Chandler is preparing to dump Janice again.]"
3523,How can I dump this woman on Valentine's day?
3524,I don't know. You dumped her on New Year's.
3525,"Oh, man. In my next life, I'm coming back as a toilet brush."
3526,"Hello, funny Valentine."
3527,"Hi, Just Janice."
3528,"Hello, Joey, our little matchmaker. I could just kiss you all over, and I'm gonna!"
3529,"If you don't do it, I will."
3530,The Chinese Restaurant.]
3531,"So, um, what do you do for a living?"
3532,"Well, um, for the past few years I've been working.....which is funny because, that wasn't even my major."
3533,Oh no. I thought you said they could shoot the spot without you.
3534,I thought they could...I'll try to get back as soon as I can. I'm sorry.
3535,"Now that is funny. Hey, do you think...would it be too weird if I invited Carol over to join us? 'Cause she's, she's alone now, and pregnant, and, and sad."
3536,I guess.
3537,Are you sure? Great. Carol? Wanna come over and join us?
3538,"Oh, no no no. I'm fine. I'm fine."
3539,"Come on. These people'll scooch down. You guys'll scooch, won't you? Let's try scooching! Come on. Come on. Uh, Kristen Riggs, this is Carol Willick. Carol, Kristin. Uh, Carol teaches sixth grade. And, Kristin, Kristin......does something that, funnily enough, wasn't even her major!"
3540,"Monica and Rachel's, firemen are there to handle the bonfire that got out of control.]"
3541,What do we got there?
3542,"A piece of something: boxer shorts, greeting cards, and what looks like a half-charred pictureWow, that guy's hairier than the Chief!"
3543,"You know, it's a really funny story how this happened."
3544,It's all right. It's all right. You don't have to explain. This isn't the first boyfriend bonfire that we've seen get out of control.
3545,You're our third call tonight.
3546,Really?
3547,"Oh, sure, Valentine's is our busiest night of the year."
3548,Central Perk.]
3549,I brought you something.
3550,"Is it loaded? Oh, little candy hearts.  Chan and Jan Forever."
3551,I had them made special.
3552,"Ok, Janice. Janice. Hey, Janice. Look, there's no way for me to tell you this. At least there's no new way for me to tell you this. I just don't things are gonna work out."
3553,That's fine.
3554,It is?
3555,Mmm-hmm. Because I know that this isn't the end.
3556,"Oh no, you see, actually it is."
3557,"No, it isn't, because you won't let that happen. Don't you know it yet? You love me, Chandler Bing."
3558,"Oh, no I don't."
3559,Well then ask yourself this. Why do you think we keep ending up together? New Year's? Who invited who? Valentine's? Who asked who into whose bed?
3560,"I did, but..."
3561,"You seek me out. Something deep in your soul calls out to me like a foghorn. Janice, Janice. You want me. You need me. You can't live without me. And you know it. You just don't know you know it. See ya."
3562,Call me!
3563,"The Chinese Restaurant, Ross and Carol are talking. Kristin is not there.]"
3564,It's not true. I never called your mother a wolverine.
3565,"You did so. I swear, I swear How long has she been in the bathroom?"
3566,"Uh, I don't think she's in the bathroom. Her coat is gone."
3567,Well maybe it's cold in there. Or maybe I screwed up the first date I had in 9 years.
3568,That could be it.
3569,"Oh, god.  You know, this is still pretty hot."
3570,"Mushroom. Smile. They won't all be like this. Some women might even stay through dinner. Sorry, that's not funny"
3571,"No, it's just...you know the whole ""getting on with your life"" thing. Well, do I have to? I mean, I'm sitting here with this cute woman, and, and, and she's perfectly nice, and, but that there's, that's it. And um, and then I'm here talkin' to you, and, and it's easy, and it's fun, and, and I don't, I don't have to...You know, here's a wacky thought. Um, what's say you and I give it another shot? No no no, I know what you're gonna say, you're a lesbian. But what do you say we just put that aside for now you know? Let's just stick a pin in it, ok? Because, we're great together, you know. You can't deny it. Besides, you're carrying my baby. I mean, how perfect is that? But see, you know, you keep sayin' that, but there's somethin' right here. I love you."
3572,"Oh, I love you too. But..."
3573,"No but, no but."
3574,"You know that thing you put over here with the pin in it? It's time to take the pin out. You'll find someone, I know you will. The right woman is just waiting for you."
3575,"That's easy for you to say, you found one already."
3576,All you need is a woman who likes men and you'll be set.
3577,Not her.
3578,"Monica and Rachel's, The girls are talking with the firemen.]"
3579,"We get off around midnight, why don't we pick you up then?"
3580,"So, um, will you bring the truck?"
3581,I'll even let you ring the bell.
3582,"Oh, my god."
3583,"See, there you go, the cleansing works!"
3584,They're nice guys.
3585,"Oh, they're firemen guys."
3586,"Out in the hall, the firemen are talking.]"
3587,You guys tell them you were married?
3588,No way!
3589,"Are you kidding? My girlfriend doesn't know, I'm not gonna tell them!"
3590,"Central Perk, Rachel is serving Joey, Ross, and Monica their drinks.]"
3591,Coffee.
3592,Thank you.
3593,Cappuccino.
3594,Grazie.
3595,And a nice hot cider for Monica.
3596,"Aww, thank you.  Uh Rach?"
3597,Yeah?
3598,Why does my cinamon stick have an eraser?
3599,Oh! That's why.  I'm sorry!
3600,"Chandler's job, Chandler is typing data into his computer, he keeps typing even while taking a drink of coffee with one hand. One of his co-workers walks by.]"
3601,Chandler.
3602,"Mrs. Tedlock. You're looking lovely today. And may I say, that is a very flattering sleeve length on you."
3603,"Yes. Well, Mr. Kostelick wants you to stop by his office at the end of the day."
3604,"Oh, listen. If this is about those prank memos, I had nothing to do with them. Really. Nothing at all. Really.  Nothing."
3605,"Central Perk, everyone is there but Chandler. Phoebe runs in, excitedly.]"
3606,"Hey you guys! Chandler's coming and he says he has, like, this incredible news, so when he gets here, we could all act like, you know..."
3607,Hey!
3608,Hey!
3609,Never mind. But it was going to be really good.
3610,What's going on?
3611,What is it?
3612,"So, it's a typical day at work. I'm inputting my numbers, and big Al calls me into his office and tells me he wants to make me processing supervisor."
3613,That's great!
3614,So.... I quit.
3615,Why?
3616,Why? This was supposed to be a temp job!
3617,"Yeah, Chandler... you've been there for five years."
3618,"If I took this promotion, it'd be like admitting that this is what I actually do."
3619,So was it a lot more money?
3620,It doesn't matter. I just don't want to be one of those guys that's in his office until twelve o'clock at night worrying about the WENUS.
3621,... the WENUS?
3622,Weekly Estimated Net Usage Systems. A processing term.
3623,Oh. That WENUS.
3624,So what're you going to do?
3625,I don't know. That's the thing. I don't know what I want to do. I just know I'm not going to figure it out working there.
3626,"Oooh! I have something you can do! I have this new massage client... Steve?  Anyway, he's opening up a restaurant and he's looking for a head chef."
3627,Um... hi there.
3628,"Hi!  Oh, yeah, no, I know. You're a chef. I know, and I thought of you first, but um, Chandler's the one who needs a job right now, so...."
3629,Yeah... I just don't have that much cheffing experience. Unless it's an all-toast restaurant.
3630,"Yeah, yeah!"
3631,"Well, what kind of food is he looking for?"
3632,"Well, he wants to do some ecclectic, so he's looking for someone who can, you know, create the entire menu."
3633,Oh my God!
3634,"Yeah, I know!  So, what do you think?"
3635,"Thanks, Phoebe. But I just don't really see myself in a big white hat."
3636,OK.  Oh Monica! Guess what!
3637,"Monica and Rachel's, Chandler walks in, wearing a suit.]"
3638,Can you see my nipples through this shirt?
3639,"No. But don't worry, I'm sure they're still there."
3640,"Where are you going, Mr. Suity-Man?"
3641,"Well, I have an appointment to see Dr. Robert Pillman, career counselor a-gogo.  I added the ""a-gogo."""
3642,Career counselor?
3643,"Hey, you guys all know what you want to do."
3644,I don't!
3645,"Hey, you guys in the living room all know what you want to do. You know, you have goals. You have dreams. I don't have a dream."
3646,"Ah, the lesser-known ""I don't have a dream"" speech."
3647,"Oh, I love my life, I love my life!"
3648,Ooh! Brian's Song!
3649,The meeting with the guy went great?
3650,"So great! He showed me where the restaurant's going to be. It's this, it's this cute little place on 10th Street. Not too big, not too small. Just right."
3651,Was it formerly owned by a blonde woman and some bears?
3652,"So anyway, I'm cooking dinner for him Monday night. You know, kind of like an audition. And Phoebe, he really wants you to be here, which will be great for me because then you can 'ooh' and 'ahh' and make yummy noises."
3653,What are you going to make?
3654,Yummy noises.
3655,"And Monica, what are you going to make?"
3656,I don't know. I don't know. It's just going to be so great!
3657,"Ooh! I know what you could make!  I know! Oh, you should definitely make that thing... you know, with the stuff?  You know, that thing... with the stuff...? OK, I don't know."
3658,"Hey guys, does anybody know a good date place in the neighborhood?"
3659,"How about Tony's? If you can finish a 32-ounce steak, it's free."
3660,"OK, ahem, hey, does anybody know a good place if you're not dating a puma?"
3661,Who are you going out with?
3662,"Oh, is this the bug lady?"
3663,"Bzzzz.... I love you, Ross."
3664,Her name is Celia. She's not a bug lady. She's curator of insects at the museum.
3665,So what are you guys going to do?
3666,"Oh, I just thought we could go out to dinner, and then maybe bring her back to my place and I'd introduce her to my monkey."
3667,And he's not speaking metaphorically.
3668,"So.... back to your place...you thinking, maybe...  huh-huh?"
3669,"Well, I don't know....  huh-huh.... but I'm hoping  huh-huh."
3670,"I'm telling you, that monkey is a chick magnet! She's going to take one look at his furry, cute little face and it'll seal the deal."
3671,"Ross's apartment, Marcel is hanging from Celia's hair, and she is screaming, trying to get him off.]"
3672,"Celia, don't worry!  Don't scream!  He's not going to hurt you! Soothing tones, Celia. Soothing tones! Marcel..."
3673,I can't stand this! He's got his claws in my...
3674,Alright...
3675,"Monica and Rachel's, everyone is there but Ross and Chandler. Monica is making food, and having everyone try it.]"
3676,"OK, try this salmon mousse."
3677,Mmmm. Good.
3678,Is it better than the other salmon mousse?
3679,It's creamier.
3680,"Yeah, well, is that better?"
3681,"I don't know. We're talking about whipped fish, Monica. I'm just happy I'm keeping it down, y'know?"
3682,My God! What happened to you?
3683,"Eight and a half hours of aptitude tests, intelligence tests, personality tests... and what do I learn?  ""You are ideally suited for a career in data processing for a large multinational corporation."""
3684,That's so great! 'Cause you already know how to do that!
3685,"Can you believe it? I mean, don't I seem like somebody who should be doing something really cool? You know, I just always pictured myself doing something...something."
3686,"Oh Chandler, I know, I know... oh, hey! You can see your nipples through this shirt!"
3687,"Here you go, maybe this'll cheer you up."
3688,"Ooh, you know, I had a grape about five hours ago, so I'd better split this with you."
3689,It's supposed to be that small. It's a pre-appetizer. The French call it an amouz-bouche.
3690,Well.... it is amouz-ing...
3691,"Hello?  Oh, hi Wendy!  Yeah, eight o'clock.  What did we say? Ten dollars an hour?...  OK, great.  All right, I'll see you then. Bye."
3692,Ten dollars an hour for what?
3693,"Oh, I asked one of the waitresses at work if she'd help me out."
3694,Waitressing?
3695,Uh-oh.
3696,Well... of course I thought of you! But... but...
3697,"But, but?"
3698,"But, you see, it's just... this night has to go just perfect, you know? And, well, Wendy's more of a... professional waitress."
3699,Oh! I see. And I've sort of been maintaining my amateur status so that I can waitress in the Olympics.
3700,"You know, I don't mean to brag, but I waited tables at Innsbruck in '76.  Amouz-bouche?"
3701,"Ross' apartment, Girl, You'll Be A Woman Soon  is playing. Ross and Celia are kissing passionately.]"
3702,Talk to me.
3703,"OK.... um, a weird thing happened to me on the train this morning..."
3704,No no no. Talk... dirty.
3705,"Wha... what, here?"
3706,Yes...
3707,Ah....
3708,Say something..... hot.
