,Character,Dialog
515,Tony Stark,I don't wanna hear it.
516,Peter Parker,But it was such a long way down and I just thought about you on the way...
517,Tony Stark,And now I gotta hear it.
518,Peter Parker,"...And I kinda stuck to the side of the ship. And this suit is ridiculously intuitive, by the way. So if anything, it's kinda your fault that I'm here."
519,Tony Stark,What did you just say?
520,Peter Parker,I take that back. And now I'm here in space.
521,Tony Stark,Yeah.  Right where I don't want you to be. This isn't Coney Island. This isn't a field trip. It's a one-way ticket. You hear me? Don't pretend like you thought this through. You could not have possibly thought this through.
522,Peter Parker,No. I did think this through.
523,Tony Stark,You could not have possibly thought this through.
524,Peter Parker,"It's just .. you can't be a friendly neighborhood Spider-Man if there's no neighborhood.  Okay. That didn't really make any sense, but you know what I'm trying to say."
525,Tony Stark,See him down there? He's in trouble. What's your plan? Go.
526,Peter Parker,"Um. Okay, okay... uh...  Okay. Did you ever see this really old movie, Aliens?"
527,Ebony Maw,Painful aren't they? They were originally designed for microsurgery. And any one of them...
528,Ebony Maw,...Could end your friend's life in an instant.
529,Tony Stark,"I gotta tell you, he's not really my friend. Saving his life is more a professional courtesy."
530,Ebony Maw,You've saved nothing. Your powers are inconsequential compared to mine.
531,Tony Stark,"Yeah, but the kid's seen more movies."
532,Peter Parker,Yes! Wait what are those?!
533,Peter Parker,"Hey, we haven't officially met.  Cool."
534,Stephen Strange,We've gotta turn this ship around.
535,Tony Stark,Yeah. Now he wants to run. Great plan.
536,Stephen Strange,"No, I want to protect the stone."
537,Tony Stark,"And I want you to thank me now. Go ahead, I'm listening."
538,Stephen Strange,For what? Nearly blasting me into space?
539,Tony Stark,Who just saved your magical ass? Me.
540,Stephen Strange,I seriously don't know how you fit your head into that helmet.
541,Tony Stark,Admit it. You should have ducked out when I told you to. I tried to bench you. You refused.
542,Stephen Strange,"Unlike everyone else in your life, I don't work for you."
543,Tony Stark,"And due to that fact, we're now in a flying doughnut billions of miles away from Earth with no backup."
544,Peter Parker,I'm backup.
545,Tony Stark,No. You're a stowaway.  The adults are talking.
546,Stephen Strange,"I'm sorry, I'm confused as to the relationship here. Wh-- what is he, your ward?"
547,Peter Parker,"No. I'm Peter, by the way."
548,Stephen Strange,Dr. Strange.
549,Peter Parker,"Oh, we're using our made-up names. Um... I'm Spider-Man, then."
550,Tony Stark,This ship is self-correcting its course. Thing's on autopilot.
551,Stephen Strange,Stark?
552,Tony Stark,Yeah?
553,Stephen Strange,Can you get us home?
554,Tony Stark,Yeah I heard you. I'm thinking... I'm not so sure we should.
555,Stephen Strange,Under no circumstance can we bring the Time Stone to Thanos. I don't think you quite understand what's at stake here.
556,Tony Stark,"No. It's you who doesn't understand, that Thanos has been inside my head for six years since he sent an army to New York and now he's back! And I don't know what to do. So I'm not so sure if it's a better plan to fight him on our turf or his but you saw what they did, what they can do. At least on his turf, he's not expecting it. So I say we take the fight to him. Doctor. Do you concur?"
557,Stephen Strange,"Alright, Stark. We go to him. But you have to understand... if it comes to saving you or the kid or the Time Stone... I will not hesitate to let either of you die. I can't, because the fate of the universe depends on it."
558,Tony Stark,Nice. Good. Moral compass. We're straight.
559,Thanos,I thought you might be hungry.
560,Gamora,I always hated that chair.
561,Thanos,So I've been told. Even so. I'd hoped you'd sit on it one day.
562,Gamora,I hated this room. This ship. I hated my life.
563,Thanos,You told me that too.  Every day. For almost twenty years.
564,Gamora,I was a child when you took me.
565,Thanos,I saved you.
566,Gamora,No. No. We were happy on my home planet.
567,Thanos,"Going to bed hungry, scrounging for scraps. Your planet was on the brink of collapse. I'm the one who stopped that. Do you know what's happened since then? The children born have known nothing but full bellies and clear skies. It's a paradise."
568,Gamora,Because you murdered half the planet.
569,Thanos,A small price to pay for salvation.
570,Gamora,You're insane.
571,Thanos,"Little one, it's a simple calculus. This universe is finite, its resources finite. If life is left unchecked, life will cease to exist. It needs correction."
572,Gamora,You don't know that!
573,Thanos,For a time... you had that same will... as you fought by my side. Daughter.
574,Gamora,I'm not your daughter. Everything I hate about myself you taught me.
575,Thanos,"And in doing so, made you the fiercest woman in the galaxy. That's why I trusted you to find the Soul Stone."
576,Gamora,I'm sorry I disappointed you.
577,Thanos,I am disappointed. But not because you didn't find it.  And you lied.
578,Gamora,Nebula.
579,Gamora,Don't do this.
580,Thanos,"Some time ago, your sister snuck aboard this ship to kill me."
581,Gamora,Please don't do this.
582,Thanos,And very nearly succeeded. So I brought her here. To talk.
583,Gamora,Stop. Stop it.  I swear to you on my life. I never found the Soul Stone.
584,Memory Nebula,"You know what he's about to do. He's finally ready, and he's going for the stones. All of them."
585,Memory Gamora,He can never get them all.
586,Memory Nebula,He will!
587,Memory Gamora,"He can't, Nebula. Because I found the map to the Soul Stone and I burnt it to ash. I burnt it."
588,Thanos,
589,Gamora,Vormir!  The Stone is on Vormir.
590,Thanos,Show me.
591,Groot,I am Groot.
592,Rocket,Tinkle in the cup. We're not looking. What's there to see? What's a twig? Everybody's seen a twig.
593,Groot,I am Groot.
594,Thor,"Tree, pour what's in the cup out in space, and go in the cup again."
595,Rocket,You speak Groot?
596,Thor,"Yes, they taught it on Asgard. It was an elective."
597,Groot,I am Groot.
598,Thor,You'll know when we're there. Nivadellir's forge harnesses the power of a blazing neutron star.  It's the birth place of my hammer. It's truly awesome.
599,Rocket,"So, dead brother, huh? Yeah, that can be annoying."
600,Thor,"Well, he's been dead before, but this time I think it really might be true."
601,Rocket,And you said your sister and your dad?
602,Thor,Both dead.
603,Rocket,"Still got a mom, though?"
604,Thor,Killed by a dark elf.
605,Rocket,A best friend?
606,Thor,Stabbed through the heart.
607,Rocket,Are you sure you're up to this particular murder mission?
608,Thor,"Absolutely. Rage, vengeance, anger, loss, regret... they're all tremendous motivators. They really clear the mind. So I'm good to go."
609,Rocket,"Yeah, but this Thanos we're talking about... he's the toughest there is."
610,Thor,"Well, he's never fought me."
611,Rocket,"Yeah, he has!"
612,Thor,"He's never fought me twice. And I'm getting a new hammer, don't forget."
613,Rocket,Better be some hammer.
614,Thor,"You know, I'm 1,500 years old. I've killed twice as many enemies as that, and every one would have rather killed me, but none succeeded. I'm only alive because fate wants me alive. Thanos is the latest in a long line of bastards and he will be the latest to feel my vengeance. Fate wills it so."
615,Rocket,And what if you're wrong?
616,Thor,If I'm wrong then... what more could I lose?
617,Rocket,
618,Thor,What's this?
619,Rocket,What's it look like? Some jerk lost a bet with me on on Contraxia.
620,Thor,He gave you his eye?
621,Rocket,He gave me 100 credits. I snuck in later that night and stole his eye.
622,Thor,"Thank you, sweet rabbit."
623,Rocket,"Hmm. Huh? Oh. I would've washed that. The only way I could sneak it off Contraxia was up my... Hey, we're here!"
624,Thor,I don't think this thing works. Everything seems dark.
625,Rocket,It ain't the eye.
626,Thor,Something's wrong. The star's gone out. And the rings are frozen.
627,"[The pod flies through massive machinery, cold and inert. Screen title",NIDAVELLIR]
628,Rocket,I hope these dwarves are better at forging than they are cleaning. Maybe they realized they live in a junk pile in the middle of space.
629,Thor,This forge hasn't gone dark in centuries....
630,Rocket,"You said Thanos had a gauntlet, right?"
631,Thor,Yes. Why?
632,Rocket,Look anything like that?
633,Groot,I am Groot.
634,Thor,Go back to the pod.
635,Thor,"Eitri, wait! Stop!"
636,Eitri,Thor?
637,Thor,What happened here?
638,Eitri,You were supposed to protect us. Asgard was supposed to protect us!
639,Thor,"Asgard is destroyed.  Eitri, the glove. What did you do?"
640,Eitri,
641,Thor,"Eitri, this isn't about your hands. Every weapon you've ever designed... every ax, hammer, sword... it's all inside your head. Now I know it feels like all hope is lost. Trust me, I know. But together, you and I, we can kill Thanos."
642,Nebula,"Mantis, listen very carefully. I need you to meet me on Titan."
643,Peter Parker,"Hey, what's going on?"
644,Stephen Strange,I think we're here.
645,Tony Stark,I don't think this rig has a self-park function.  Get your hand into this steering gimbal. Close those around it. You understand?
646,Peter Parker,"Yep, got it."
647,Tony Stark,"This was meant for one big guy, so we gotta to move at the same time."
648,Peter Parker,Okay. Okay. Ready.
649,Peter Parker,We might wanna turn. Turn! Turn! Turn!!
650,"[The ship, now reduced to about 45%, plows through the dirt and stops, leaning slightly to one side. Screen title",TITAN.]
651,Tony Stark,That was close. I owe you one.
652,Peter Parker,"Let me just say, if aliens wind up implanting eggs in my chest or something, and I eat one of you, I'm sorry."
653,Tony Stark,I don't wanna hear another single pop culture out of you for the rest of the trip. You understand?
654,Peter Parker,I'm trying to say that... something is coming.
655,Drax,
656,Peter Parker,"AH! Whoa, whoa, whoa, whoa! PLEASE DON'T PUT YOUR EGGS IN ME!"
657,Peter Quill,"Stay down, clown!"
658,Drax,"Die, blanket of death!"
659,Peter Quill,"Alright, everybody, stay where you are... chill the F out.  I'm gonna ask you this one time. Where's Gamora?"
660,Tony Stark,"Yeah, I'll do you one better. Who's Gamora?"
661,Drax,I'll do you one better! Why is Gamora?!
662,Peter Quill,"Tell me where the girl is, or I swear to you, I'm gonna French-fry this little freak."
663,Tony Stark,"Let's do it! You shoot my guy, I blast him. Let's go!"
664,Drax,"Do it, Quill! I can take it."
665,Mantis,"No, he can't take it!"
666,Stephen Strange,She's right. You can't.
667,Peter Quill,Oh yeah? You don't wanna tell me where she is? That's fine. I'll kill all three of you and beat it out of Thanos myself.  Starting with you.
668,Stephen Strange,"Wait, what. Thanos?  Alright, let me ask you this one time: What master do you serve?"
669,Peter Quill,"What master do I serve? What am I supposed to say? ""Jesus""?"
670,Tony Stark,You're from Earth?
671,Peter Quill,I'm not from Earth. I'm from Missouri.
672,Tony Stark,"Yeah, that's on EARTH, dip-shit. What are you hassling us for?"
673,Peter Parker,"So, you're not with Thanos?"
674,Peter Quill,"WITH Thanos?! No, I'm here to kill Thanos! He took my girl- Wai- who are you?"
675,Peter Parker,"We're the Avengers, man."
676,Peter Quill,Oh.
677,Mantis,You're the ones Thor told us about!
678,Tony Stark,You know Thor!?
679,Peter Quill,"Yeah. Tall guy, not that good-looking,  needed saving."
680,Doctor Strange,Where is he now?
681,Rocket,This is plan? We're gonna hit him with a brick?
682,Eitri,"It's a mold. A king's weapon. Meant to be the greatest in Asgard. In theory, it could even summon the Bifrost."
683,Thor,Did it have a name?
684,Eitri,Stormbreaker.
685,Rocket,That's a bit much.
686,Thor,So how do we make it?
687,Eitri,You'll have to restart the forge. Awaken the heart of a dying star.
688,Thor,"Rabbit, fire up the pod."
689,Peter Quill,The heck happened to this planet? It's eight degrees off its axis. Gravitational pull is all over the place.
690,Tony Stark,"Yeah, we got one advantage. He's coming to us. We'll use it. All right, I have a plan. Or at least the beginnings of one. It's pretty simple. We draw him in, pin him down, get what we need. Definitely don't wanna dance with this guy. We just want the gauntlet."
691,Tony Stark,"Are you yawning? In the middle of this, while I'm breaking it down? Huh? Did you hear what I said?"
692,Drax,"I stopped listening after you said, ""We need a plan."""
693,Tony Stark,"Okay, Mr. Clean is on his own page."
694,Peter Quill,"See, ""not winging it"" isn't really what they do."
695,Peter Parker,"Uh, what exactly is it that they do?"
696,Mantis,"Kick names, take ass."
697,Drax,"Yeah, that's right."
698,Tony Stark,"Alright, just get over here, please. Mr. Lord, can you get your folks to circle up?"
699,Peter Quill,"""Mr. Lord."" Star-Lord is fine."
700,Tony Stark,We gotta coalesce. 'Cause if all we come at him with is a plucky attitude....
701,Peter Quill,"Dude, don't call us plucky. We don't know what it means. Alright, we're optimistic, yes. I like your plan. Except it sucks, so let me do the plan, and that way it might be really good."
702,Drax,Tell him about the dance-off to save the universe.
703,Tony Stark,What dance-off?
704,Peter Quill,It's not a... it's not... it's nothing.
705,Peter Parker,"Like in Footloose, the movie?"
706,Peter Quill,Exactly like Footloose. Is it still the greatest movie in history?
707,Peter Parker,It never was.
708,Tony Stark,"Don't encourage this, alright?"
709,Peter Parker,Okay.
710,Tony Stark,We're getting no help from Flash Gordon here.
711,Peter Quill,"Flash Gordon? By the way, that's a compliment. Don't forget, I'm half human.  So that 50% of me that's stupid? That's 100% you."
712,Tony Stark,Your math is blowing my mind.
713,Mantis,"Excuse me, but... does your friend often do that?"
714,Tony Stark,Strange! We alright?
715,Tony Stark,You're back. You're alright.
716,Peter Parker,"Hey, what was that?"
717,Stephen Strange,I went forward in time to view alternate futures. To see all the possible outcomes of the coming conflict.
718,Peter Quill,How many did you see?
719,Stephen Strange,"14,000,605."
720,Tony Stark,How many did we win?
721,Stephen Strange,One.
722,"[Cut to Thanos and Gamora appearing on sand dunes alternating with shallow pools around the base of a mountain. The sun is in full eclipse, lending eerie lighting to the scene. Screen title",VORMIR]
723,Thanos,The stone had better be up there... for your sister's sake.
724,Stonekeeper,"Welcome, Thanos, son of A'lars. Gamora, daughter of Thanos."
725,Thanos,You know us?
726,Stonekeeper,It is my curse to know all who journey here.
727,Thanos,Where's the Soul Stone?
728,Stonekeeper,You should know... it extracts a terrible price.
729,Thanos,I am prepared.
730,Stonekeeper,We all think that at first.  We are all wrong.
731,Thanos,How is it you know this place so well?
732,Red Skull,"A lifetime ago, I, too, sought the stones. I even held one in my hand. But it cast me out, banished me here. Guiding others to a treasure I cannot possess."
733,Red Skull,What you seek lies before you. As does what you fear.
734,Thanos,What's this?
735,Red Skull,The price. Soul hold a special place among the Infinity Stones. You might say it has a certain wisdom.
736,Thanos,Tell me what it needs.
737,Red Skull,To ensure that whoever possesses it... understands its power.... The stone demands a sacrifice.
738,Thanos,Of what?
739,Red Skull,In order to take the stone you must lose that which you love. A soul... for a soul.
740,Gamora,"All my life, I dreamed of a day... a moment when you would get what you deserved. And I was always so disappointed. But now... you kill and torture... and you call it mercy. The universe has judged you. You asked it for a prize, and it told you no. You failed. And do you wanna know why? Because you love nothing. No one."
741,Thanos,
742,Gamora,Really? Tears?
743,Red Skull,They're not for him.
744,Gamora,No. This isn't love.
745,Thanos,
746,Gamora,NO!
747,Steve Rogers,"Drop to 2600, heading 0-3-0."
748,Sam Wilson,"I hope you're right about this, Cap. Or we're gonna land a lot faster than you want to."
749,Okoye,When you said we were going to open Wakanda to the rest of the world... this is not what I imagined.
750,T'Challa,And what did you imagine?
751,Okoye,The Olympics. Maybe even a Starbucks.
752,Bruce Banner,Should we bow?
753,James Rhodes,"Yeah, he's a king."
754,Steve Rogers,Seems like I'm always thanking you for something.
755,James Rhodes,What are you doing?
756,T'Challa,"Uh, we don't do that here.  So how big of an assault can we expect?"
757,Bruce Banner,"Uh, sir, I think you can expect quite a big assault."
758,Natasha Romanoff,How we looking?
759,King T'Challa,"You will have my Kingsguard, the Border Tribe, the Dora Milaje, and..."
760,Bucky Barnes,"A semi-stable, 100-year-old man."
761,Steve Rogers,"How you been, Buck?"
762,Bucky Barnes,"Uh, not bad, for the end of the world."
763,Shuri,Whoa. The structure is polymorphic.
764,Bruce Banner,"Right, we had to attach each neuron non-sequentially."
765,Shuri,Why didn't you just reprogram the synapses to work collectively?
766,Bruce Banner,"Because, we didn't think of it."
767,Shuri,I'm sure you did your best.
768,Wanda Maximoff,Can you do it?
769,Shuri,"Yes, but there are more than two trillion neurons here. One misalignment could cause a cascade of circuit failures.  It will take time, brother."
770,Steve Rogers,How long?
771,Shuri,As long as you can give me.
772,Okoye,Something's entered the atmosphere.
773,Sam Wilson,"Hey, Cap, we got a situation here."
774,Bucky Barnes,"God, I love this place."
775,James Rhodes,"Yeah, don't start celebrating yet, guys. We got more incoming outside the dome."
776,Vision,It's too late. We need to destroy the stone now.
777,Natasha Romanoff,"Vision, get your ass back on the table."
778,T'Challa,We will hold them off.
779,Steve Rogers,"Wanda, as soon as the stone's out of his head... you blow it to hell."
780,Wanda Maximoff,I will.
781,T'Challa,Evacuate the city. Engage all defense procedures.  And get this man a shield.
782,Rocket,"I don't think you get the scientifics here. These rings are gigantic. You wanna get them moving, you're gonna need something a lot bigger to yank 'em loose."
783,Thor,Leave that to me.
784,Rocket,"Leave that to you? Buddy, you're in space. All you got is a rope and a--"
785,Thor,Fire the engines!
786,Rocket,Nnnyah!
787,Thor,MORE... POWER... RABBIT!
788,Eitri,"Well done, boy."
789,Thor,That's Nivadellir!
790,Eitri,Damn it.
791,Rocket,"""Damn it""? What's ""damn it""?"
792,Eitri,The mechanism is crippled.
793,Thor,What?
794,Eitri,With the iris closed I can't heat the metal.
795,Thor,How long will it take to heat?
796,Eitri,"A few minutes, maybe more. Why?"
797,Thor,I'm gonna hold it open.
798,Eitri,That's suicide.
799,Thor,So is facing Thanos without that ax.
800,Natasha Romanoff,"How we looking, Bruce?"
801,Bruce Banner,I'm okay. I'm okay.
802,James Rhodes,I got two heat signatures breaking through the tree line.
803,Jabari Warriors,MIE EFFA!  YA HU! MIE EFFA! YA HU! MIE EFFA! YA HU! MIE EFFA! YA HU! MIE EFFA! YA HU!
804,T'Challa,Thank you for standing with us.
805,M'Baku,"Of course, brother."
806,Natasha Romanoff,Where's your other friend?
807,Proxima Midnight,You will pay for his life with yours. Thanos will have that stone.
808,Steve Rogers,That's not gonna happen.
809,T'Challa,You are in Wakanda now. Thanos will have nothing but dust and blood.
810,Proxima Midnight,We... have blood to spare.
811,Bucky Barnes,Did they surrender?
812,Steve Rogers,Not exactly.
813,Bucky Barnes,What the hell.
814,Natasha Romanoff,Looks like we pissed her off.
815,Okoye,They're killing themselves.
816,Sam Wilson,You seen the teeth on those things?
817,James Rhodes,"Alright, back up, Sam. You're gonna get your wings singed."
818,Bruce Banner,"Cap, if these things circle the perimeter and get in behind us... there's nothing between them and Vision."
819,Steve Rogers,Them we better keep 'em in front of us.
820,Okoye,How do we do that?
821,T'Challa,"We open the barrier.  On my signal, open North-West Section Seventeen."
822,Dome Control,"Requesting confirmation, my King. You said open the barrier?"
823,T'Challa,On my signal.
824,M'Baku,This will be the end of Wakanda.
825,Okoye,Then it will be the noblest ending in history.
826,T'Challa,WAKANDA FOREVER!  Now!
827,T'Challa,"How much longer, Shuri?"
828,Shuri,"We've barely begun, brother."
829,T'Challa,You might want to pick up the pace.
830,Thor,"Allfathers, give me strength."
831,Eitri,"You understand, boy? You're about to take the full force of a star. It'll kill you."
832,Thor,Only if I die.
833,Eitri,"Yes. That's what... ""killing you"" means."
834,Eitri,"Hold it! Hold it, Thor!"
835,Rocket,
836,Rocket,I think he's dying!
837,Eitri,"He needs the ax! Where's the handle? Tree, help me find the handle!"
838,Bruce Banner,There’s too many of them! GYAH! AAAAHHHHH!
839,Bruce Banner,AH-hahaha! You guys are so screwed now!
840,Thor,BRING ME THANOS!
841,Stephen Strange,"Oh, yeah, you're much more of a ""Thanos."""
842,Thanos,"I take it the Maw is dead. This day extracts a heavy toll. Still, he accomplished his mission."
843,Stephen Strange,You may regret that. He brought you face-to-face with the Master of the Mystic Arts.
844,Thanos,And where do you think he brought you?
845,Stephen Strange,Let me guess. Your home?
846,Thanos,"Titan was like most planets. Too many mouths, and not enough to go around. And when we faced extinction, I offered a solution."
847,Stephen Strange,Genocide.
848,Thanos,"But at random, dispassionate, fair to rich and poor alike. They called me a madman. And what I predicted came to pass."
849,Stephen Strange,Congratulations. You're a prophet.
850,Thanos,I'm a survivor.
851,Stephen Strange,Who wants to murder trillions.
852,Thanos,"With all six stones, I could simply snap my fingers, and they would all cease to exist. I call that... mercy."
853,Stephen Strange,And then what?
854,Thanos,I finally rest... and watch the sun rise on a grateful universe. The hardest choices require the strongest wills.
855,Stephen Strange,I think... you'll find... our will... equal to yours.
856,Thanos,Ours?
857,Tony Stark,"Piece of cake, Quill."
858,Peter Quill,"Yeah, if your goal was to piss him off!"
859,Peter Quill,Boom!
860,Stephen Strange,
861,Peter Parker,Magic!  Magic with a--
862,Thanos,Insect!
863,Thanos,"Well, well."
864,Nebula,You should have killed me.
865,Thanos,Would've been a waste of parts!
866,Nebula,Where's Gamora?!
867,Tony Stark,Is he under? Don't let up.
868,Mantis,Be quick. He is very strong.
869,Tony Stark,"Parker, help! Get over here.  She can't hold him much longer. Let's go."
870,Peter Quill,"I thought you'd be harder to catch. For the record, this was my plan. Not so strong now, huh? Where is Gamora?"
871,Thanos,My... Gamora...?
872,Peter Quill,"No, bullshit. Where is she?"
873,Mantis,He is in anguish.
874,Peter Quill,Good.
875,Mantis,He… he… mourns.
876,Drax,What does this monster have to mourn?!
877,Nebula,Gamora.
878,Peter Quill,What?
879,Nebula,He took her to Vormir. He came back with the Soul Stone... but she didn't.
880,Tony Stark,"Okay, Quill, you gotta cool it right now, you understand?"
881,Tony Stark,"Don't, don't, don't engage, we've almost got this off!"
882,Peter Quill,Tell me she's lying.  ASSHOLE! Tell me you didn't do it!
883,Thanos,I... had... to.
884,Peter Quill,"NO, YOU DIDN'T!"
885,Tony Stark & Drax,Quill!
886,Tony Stark,"Hey, stop! Hey, stop! Stop! Hey, stop! Stop!"
887,Peter Parker,It's coming! It's coming! It's coming!  I got it! I got it.... !
888,Peter Parker,
889,Rocket,How much for the gun?
890,Bucky Barnes,Not for sale.
891,Rocket,"Okay, how much for the arm?  Oh, I'll get that arm."
892,Steve Rogers,New haircut?
893,Thor,Notice you've copied my beard.
894,Thor,"By the way, this is a friend of mine. Tree."
895,Groot,I am GROOT!
896,Steve Rogers,I... I am Steve Rogers.
897,T'Challa,Fall back! Fall back now!
898,James Rhodes,"Focus that fire on the left flank, Sam."
899,Sam Wilson,I'm doing it.
900,Okoye,Why was she up there all this time?
901,Proxima Midnight,She's on the field. Take it.
902,Sam Wilson,"Guys, we got a Vision situation here."
903,Steve Rogers,Somebody get to Vision!
904,Bruce Banner,I got him!
905,Wanda Maximoff,On my way.
906,Proxima Midnight,He'll die alone. As will you.
907,Natasha Romanoff,She's not alone.
908,Proxima Midnight,Euuyaaah!
909,Bruce Banner,"Oh no, oh no you don't. This isn't going to be like New York, pal. This suit's already kicked the crap out of the Hulk--"
910,Bruce Banner,Guys! Vision needs backup now!  Ahhhhh! Hulk! Hulk! HULK!
911,Hulk,NOOOO!!!
912,Bruce Banner,"Oh, screw you, you big green asshole! I'll do it myself!  Come on!"
913,Bruce Banner,"See ya!  Hulk, we got a lot to figure out, pal."
914,Corvus Glaive,"I thought you were formidable, machine. But you're dying, like any man."
915,Steve Rogers,Get outta here!  GO!
916,Natasha Romanoff,That was really gross.
917,Steve Rogers,I thought I told you to go.
918,Vision,"We don't trade lives, Captain."
919,Peter Parker,
920,Thanos,"You're full of tricks, wizard."
921,Stephen Strange,No!
922,Thanos,
923,Tony Stark,"You throw another moon at me, and I'm gonna to lose it."
924,Thanos,Stark.
925,Tony Stark,You know me?
926,Thanos,I do. You're not the only one cursed with knowledge.
927,Tony Stark,My only curse is you.
928,Thanos,Come on!
929,Thanos,All that for a drop of blood.
930,Thanos,"You have my respect, Stark. When I'm done, half of humanity will still be alive.  I hope they remember you."
931,Stephen Strange,Stop!  Spare his life... and I will give you the stone.
932,Thanos,No tricks.
933,Tony Stark,Don't... !
934,Thanos,One to go.
935,Peter Quill,
936,Peter Quill,Where is he?!
937,Peter Quill,Did we just lose?
938,Tony Stark,Why would you do that?
939,Stephen Strange,We're in the Endgame now.
940,M'Baku,MAYEFA!
941,Jabari Warriors,YA HU HU!
942,Wanda Maximoff,What? What is it?
943,Vision,He's here.
944,Steve Rogers,"Everyone, on my position. We have incoming."
945,Natasha Romanoff,What the hell?
946,Bruce Banner,Cap. That's him.
947,Steve Rogers,Eyes up. Stay sharp.
948,Vision,Wanda. It's time.
949,Wanda Maximoff,No.
950,Vision,"They can't stop him, Wanda, but we can. Look at me. You have the power to destroy the stone."
951,Wanda Maximoff,Don't.
952,Vision,"You must do it. Wanda, please. We. Are. Out of time."
953,Wanda Maximoff,I can't.
954,Vision,"Yes, you can. You can. If he gets the stone, half the universe dies."
955,Wanda Maximoff,It's not fair.
956,Vision,"It shouldn't be you, but it is. It's all right. You could never hurt me. I just... feel you."
957,Vision,It's all right. It's all right. I love you.
958,Thanos,"I understand, my child. Better than anyone."
959,Wanda Maximoff,You could never.
960,Thanos,
961,Wanda Maximoff,No!
962,Thor,
963,Thanos,
964,Thor,NO!
965,Thanos,Daughter?
966,Gamora,Did you do it?
967,Thanos,Yes.
968,Gamora,What did it cost?
969,Thanos,Everything.
970,Thor,What'd you do?  WHAT'D YOU DO?!
971,Steve Rogers,Where'd he go? Thor... where'd he go?
972,Bucky Barnes,Steve?
973,T'Challa,
974,Okoye,Kumkani?!
975,Groot,
976,Rocket,"No... no. No. No. No! Groot, no..."
977,James Rhodes,"Sam, where you at?!"
978,Mantis,Something's... happening.
979,Drax,Quill?
980,Tony Stark,"Steady, Quill."
981,Peter Quill,"Oh, man."
982,Stephen Strange,
983,Peter Parker,I don't feel so good...
984,Tony Stark,You're all right?
985,Peter Parker,
986,Nebula,He did it.
987,James Rhodes,What is this? What the hell is happening?
988,Steve Rogers,"Oh, God."
989,Nick Fury,Still no word from Stark?
990,Maria Hill,"No, not yet. We're watching every satellite in both hemispheres, there's still nothing."
991,Nick Fury,What is it?
992,Maria Hill,Multiple bogeys over Wakanda.
993,Nick Fury,Same energy signatures as New York?
994,Maria Hill,Ten times bigger.
995,Nick Fury,Tell Klein. We'll meet him at- -
996,Maria Hill,
997,Nick Fury,They okay?
998,Maria Hill,There's no one here.
999,Nick Fury,Call Control. Code Red.
1000,Maria Hill,Nick?
1001,Nick Fury,Hill?
1002,Nick Fury,"Oh, no. Motherf--"
