,Character,Dialog
550,Erik Selvig,We're running out of time.
551,Jane Foster,Almost there.
552,Erik Selvig,"Are you sure this is going to work? These devices were made to detect anomalies, not cause them."
553,Jane Foster,"Oh, come on."
554,Thor,"You know with all that power, I thought you would hit harder."
555,Ian Boothby,Done.
556,Erik Selvig,The Convergence will be in full effect in seven minutes.
557,Jane Foster,That just means we have to keep Malekith busy for eight.
558,Darcy Lewis,That is awesome! How did you do that?
559,Jane Foster,"Well, gravitational fields interact with the weak spot between worlds creating..."
560,Darcy Lewis,"Oh, there's a guy with a sword!"
561,Jane Foster,Oops.
562,Erik Selvig,Let's go.
563,Darcy Lewis,What the hell just happened?
564,Jane Foster,What are you all doing? You need to get out of here! Now!
565,Student,"You're joking, right? That's Thor out there waving his hammer around and everything!"
566,Control,Confirming ship is hostile.
567,Pilot,"Confirm, the ship is hostile. You have permission to engage."
568,Control,Roger. The missile's locked. The missile's on its way.  Missile off target! I repeat...
569,Pilot,Mayday! I'm losing control. Mayday! Mayday! I'm losing control!
570,Erik Selvig,What are you doing?
571,Jane Foster,My signal's lost connection.
572,Erik Selvig,Jane! Come on!
573,Ian Boothby,Are you alright?
574,Darcy Lewis,You saved my life.
575,Ian Boothby,"Yeah. Yes, I did."
576,Jane Foster,Darcy?
577,Darcy Lewis,Jane!
578,Erik Selvig,Ian?
579,Ian Boothby,Selvig!
580,Darcy Lewis,Meowmeow!
581,Man,Mind the gap.
582,Thor,How do I get to Greenwich?
583,Woman on Train,"Take this train, three stops."
584,Man,Mind the gap.
585,Woman on Train,Sorry. Sorry.
586,Jane Foster,We're out of time.
587,Erik Selvig,Jane. Jane!
588,Jane Foster,Thor! We're too late.
589,Erik Selvig,The Convergence is at its peak.
590,Thor,Can those things stop him?
591,Erik Selvig,Not from here.
592,Jane Foster,We can't get close enough.
593,Thor,I can.
594,Malekith,"Darkness returns, Asgardian. Have you come to witness the end of your universe?"
595,Thor,I've come to accept your surrender.
596,Malekith,You think you can stop this? The Aether cannot be destroyed.
597,Thor,But you can.
598,Jane Foster,Thor! No!
599,Erik Selvig,Jane!
600,Darcy Lewis,"He's gonna come back. Except, you know, last time he was gone for, like, two years."
601,Jane Foster,"Well, it's only been two days, so..."
602,Erik Selvig,Did he say anything before he left?
603,Jane Foster,"Yeah, he had to figure some stuff out with his father. He kind of committed treason... on our way out."
604,Erik Selvig,Oh.
605,Odin,You once said there would never be a wiser King than me. You were wrong. The alignment has brought all the realms together. Every one of them saw you offer your life to save them. What can Asgard offer its new King in return?
606,Thor,"My life. Father, I cannot be King of Asgard. I will protect Asgard and all the realms with my last and every breath, but I cannot do so from that chair. Loki, for all his grave imbalance, understood rule as I know I never will. The brutality, the sacrifice, it changes you. I'd rather be a good man than a great King."
607,Odin,"Is this my son I hear, or the woman he loves?"
608,Thor,"When you speak, do I never hear Mother's voice?  This is not for Jane, Father. She does not know what I came here to say. Now forbid me to see her or say she can rule at my side, it changes nothing."
609,Odin,"One son who wanted the throne too much, another who will not take it. Is this my legacy?"
610,Thor,"Loki died with honor, I shall try to live the same. Is that not legacy enough?"
611,Odin,"It belongs to you, if you are worthy of it."
612,Thor,I shall try to be.
613,Odin,"I cannot give you my blessing, nor can I wish you good fortune."
614,Thor,I know.
615,Odin,"If I were proud of the man my son had become, even that I could not say. It would speak only from my heart. Go, my son."
616,Thor,"Thank you, father."
617,Loki,No. Thank you.
618,Collector's Assistant,"I present to you, Taneleer Tivan, The Collector."
619,The Collector,"Woh, Oh. Asgardians, it's an honor."
620,Sif,You know why we're here.
621,The Collector,"Of course. But if I may ask, why not keep it secure in your own vault?"
622,Volstagg,The Tesseract is already on Asgard. It's not wise to keep two Infinity Stones so close together.
623,The Collector,That's very wise.  I can assure you it will be absolutely safe in...in my collection.
624,Sif,See that it is.
625,The Collector,"One down, five to go."
