,Character,Dialog
484,Clint Barton,"Ooh, incoming."
485,Barton's Daughter,Dad!
486,Clint Barton,"I see her!  Hey, buddy! How you guys doing? Ooh..."
487,Tony Stark,These are...smaller agents.
488,Clint Barton,"Look at your face! Oh, my goodness!"
489,Lila Barton,Did you bring Auntie Nat?
490,Natasha Romanoff,Why don't you hug her and find out?
491,Steve Rogers,Sorry for barging in on you.
492,Tony Stark,"Yeah, we would have called ahead, but we were busy having no idea that you existed."
493,Clint Barton,"Yeah, well Fury helped me set this up when I joined. He kept it off SHIELD's files, I'd like to keep it that way. I figure it's a good place to lay low."
494,Laura Barton,"Honey. Ah, I missed you."
495,Natasha Romanoff,"How's little Natasha, huh?"
496,Laura Barton,She's…Nathaniel.
497,Natasha Romanoff,Traitor.
498,Steve Rogers,Thor.
499,Thor,"I saw something in that dream. I need answers, I won't find them here."
500,Peggy Carter,We can go home.
501,Clint Barton,"See, you worried for nothing. Can't even feel the difference, can you?"
502,Laura Barton,"If they're sleeping here, some of them are gonna have to double up."
503,Clint Barton,"Yeah, that's not gonna sell."
504,Laura Barton,What about Nat and Dr. Banner? How long has that been going on?
505,Clint Barton,Has what?
506,Laura Barton,You are so cute.
507,Clint Barton,Nat and...and Banner?
508,Laura Barton,"I'll explain when you're older, Hawkeye."
509,Clint Barton,Oh. Okay.
510,Laura Barton,"It's bad, right? Nat seems really shaken."
511,Clint Barton,"Ultron has these allies, these uh, kids, they're punks really. They carry a big damn stick and Nat took a serious hit. Someone's gonna have to teach 'em some manners."
512,Laura Barton,"And that someone be you. You know I totally support your Avenging, I couldn't be prouder. But I see those guys, those ""Gods""..."
513,Clint Barton,You don't think they need me.
514,Laura Barton,I think they do. Which is a lot scarier. They're a mess.
515,Clint Barton,Yeah. I guess they're my mess.
516,Laura Barton,"You need to be sure that this team is really a team and that they have your back. Things are changing for us. In a few months time, you and me are gonna be outnumbered. I need...just be sure."
517,Clint Barton,"Yes, ma'am."
518,Laura Barton,I can feel the difference.
519,Ultron,"Scream, and your entire staff dies. I could've killed you, Helen, the night we met. I didn't."
520,Dr. Helen Cho,Do you expect a thank you note?
521,Ultron,I expect you to know why.
522,Dr. Helen Cho,"The Cradle.  ""This is the next thing, Tony."""
523,Ultron,This...is the next me.
524,Dr. Helen Cho,"The regeneration cradle prints tissue, it can't build a living body."
525,Ultron,"It can, you can. You lack the materials. You're a brilliant woman, Helen. But we all have room to improve."
526,Bruce Banner,I didn't realize you were waiting.
527,Natasha Romanoff,"I would've joined you, but uh, it didn't seem like the right time."
528,Bruce Banner,They used up all the hot water.
529,Natasha Romanoff,I should've joined you.
530,Bruce Banner,Missed our window.
531,Natasha Romanoff,Did we?
532,Bruce Banner,"The world just saw the Hulk. The real Hulk, for the first time. You know I have to leave."
533,Natasha Romanoff,"But you assume that I have to stay? I had this, um, dream. The kind that seems normal at the time, but when you wake..."
534,Bruce Banner,What did you dream?
535,Natasha Romanoff,That I was an Avenger. That I was anything more than the assassin they made me.
536,Bruce Banner,I think you're being hard on yourself.
537,Natasha Romanoff,Here I was hoping that was your job.
538,Bruce Banner,What are you doing?
539,Natasha Romanoff,"I'm running with it, with you. If running's the plan, as far as you want."
540,Bruce Banner,Are you out of your mind?
541,Natasha Romanoff,I want you to understand that I'm...
542,Bruce Banner,"Natasha, where can I go? Where in the world am I not a threat?"
543,Natasha Romanoff,You're not a threat to me.
544,Bruce Banner,"You sure? Even if I didn't just...there's no future with me. I can't ever...I can't have this, kids, do the math, I physically can't."
545,Natasha Romanoff,"Neither can I. In the Red Room, where I was trained, where I was raised, um, they have a graduation ceremony. They sterilize you. It's efficient. One less thing to worry about. The one thing that might matter more than a mission. It makes everything easier. Even killing.  You still think you're the only monster on the team?"
546,Bruce Banner,"What, so we disappear?"
547,Tony Stark,Thor didn't say where he was going for answers?
548,Steve Rogers,Sometimes my teammates don't tell me things. I was kind of hoping Thor would be the exception.
549,Tony Stark,"Yeah, give him time. We don't know what the Maximoff kid showed him."
550,Steve Rogers,"""Earth's Mightiest Heroes."" Pulled us apart like cotton candy."
551,Tony Stark,Seems like you walked away all right.
552,Steve Rogers,Is that a problem?
553,Tony Stark,I don't trust a guy without a dark side. Call me old fashioned.
554,Steve Rogers,Well let's just say you haven't seen it yet.
555,Tony Stark,"You know Ultron is trying to tear us apart, right?"
556,Steve Rogers,Well I guess you'd know. Whether you tell us is a bit of a question.
557,Tony Stark,Banner and I were doing research.
558,Steve Rogers,That would affect the team.
559,Tony Stark,"That would end the team. Isn't that the mission? Isn't that the ""why"" we fight, so we can end the fight, so we get to go home?"
560,Steve Rogers,"Every time someone tries to win a war before it starts, innocent people die. Every time."
561,Laura Barton,"I'm sorry. Mr. Stark, uh, Clint said you wouldn't mind, but, our tractor, it doesn't seem to want to start at all. I thought maybe you might..."
562,Tony Stark,"Yeah, I'll give her a kick."
563,Nick Fury,Do me a favor. Try not to bring it to life.
564,Tony Stark,"Ah, Mrs. Barton, you little minx. I get it, Maria Hill called you, right? Was she ever not working for you?"
565,Nick Fury,Artificial intelligence. You never even hesitated.
566,Tony Stark,"Look, it's been a really long day, like, Eugene O'Neill long, so how's about we skip to the part where you're useful?"
567,Nick Fury,Look me in the eye and tell me you're going to shut him down.
568,Tony Stark,You're not the director of me.
569,Nick Fury,"I'm not the director of anybody. I'm just an old man, who cares very much about you."
570,Tony Stark,"And I'm the man who killed the Avengers. I saw it. I didn't tell the team, how could I? I saw them all dead, Nick. I felt it. The whole world, too. It's because of me. I wasn't ready. I didn't do all I could."
571,Nick Fury,"The Maximoff girl, she's working you, Stark. Playing on your fear."
572,Tony Stark,"I wasn't tricked, I was shown. It wasn't a nightmare, it was my legacy. The end of the path I started us on."
573,Nick Fury,"You've come up with some pretty impressive inventions, Tony. War isn't one of them."
574,Tony Stark,"I watched my friends die. You'd think that'd be as bad as it gets, right? Nope. Wasn't the worst part."
575,Nick Fury,The worst part is that you didn't.
576,Erik Selvig,"I like the look. If you're going for inconspicuous, though, near miss."
577,Thor,I need your help.
578,Erik Selvig,It's nice to be needed.
579,Thor,It's dangerous.
580,Erik Selvig,I'd be disappointed if it wasn't.
581,Nick Fury,"Ultron took you folks out of play to buy himself time. My contacts all say he's building something. The amount of Vibranium he made off with, I don't think it's just one thing."
582,Steve Rogers,What about Ultron himself?
583,Nick Fury,"Ah. He's easy to track, he's everywhere. Guy's multiplying faster than a Catholic rabbit. Still doesn't help us get an angle on any of his plans though."
584,Tony Stark,He still going after launch codes?
585,Nick Fury,"Yes, he is, but he's not making any headway."
586,Tony Stark,I cracked the Pentagon's firewall in high school on a dare.
587,Nick Fury,"Yeah, well, I contacted our friends at the NEXUS about that."
588,Steve Rogers,NEXUS?
589,Bruce Banner,"It's the world internet hub in Oslo, every byte of data flows through there, fastest access on earth."
590,Clint Barton,So what'd they say?
591,Nick Fury,"He's fixated on the missiles, but the codes are constantly being changed."
592,Tony Stark,By whom?
593,Nick Fury,Parties unknown.
594,Natasha Romanoff,Do we have an ally?
595,Nick Fury,"Ultron's got an enemy, that's not the same thing. Still, I'd pay folding money to know who it is."
596,Tony Stark,"I might need to visit Oslo, find our ""unknown."""
597,Natasha Romanoff,"Well, this is good times, boss, but I was kind of hoping when I saw you, you'd have more than that."
598,Nick Fury,"I do, I have you. Back in the day, I had eyes everywhere, ears everywhere else. Here we all are, back on earth, with nothing but our wit, and our will to save the world. So stand. Outwit the platinum bastard."
599,Natasha Romanoff,Steve doesn't like that kind of talk.
600,Steve Rogers,"You know what, Romanoff?"
601,Nick Fury,So what does he want?
602,Steve Rogers,To become better. Better than us. He keeps building bodies.
603,Tony Stark,"Person bodies. The human form is inefficient, biologically speaking, we're outmoded. But he keeps coming back to it."
604,Natasha Romanoff,"When you two programmed him to protect the human race, you amazingly failed."
605,Bruce Banner,"They don't need to be protected, they need to evolve. Ultron's going to evolve."
606,Nick Fury,How?
607,Bruce Banner,Has anyone been in contact with Helen Cho?
608,Dr. Helen Cho,"It's beautiful. The Vibranium atoms aren't just compatible with the tissue cells, they're binding them. And SHIELD never even thought..."
609,Ultron,"The most versatile substance on the planet and they used it to make a Frisbee. Typical of humans, they scratch the surface and never think to look within."
610,Steve Rogers,I'll take Natasha and Clint.
611,Tony Stark,"Alright, strictly recon. I'll hit the NEXUS, I'll join you as soon as I can."
612,Steve Rogers,If Ultron is really building a body...
613,Tony Stark,He'll be more powerful than any of us. Maybe all of us. An android designed by a robot.
614,Steve Rogers,You know I really miss the days when the weirdest thing science ever created was me.
615,Nick Fury,I'll drop Banner off at the tower. Do you mind if I borrow Ms. Hill?
616,Tony Stark,"She's all yours, apparently. What are you gonna do?"
617,Nick Fury,"I don't know. Something dramatic, I hope."
618,Clint Barton,I'm gonna finish re-flooring that sunroom as soon as I get back.
619,Laura Barton,"Yeah, and then you'll find another part of the house to tear apart."
620,Clint Barton,No. It's the last project. I promise.
621,Erik Selvig,This is it. The Water of Sight.
622,Thor,"In every realm, there's a reflection. If the water spirits accept me, I can return to my dream, and find what I missed."
623,Erik Selvig,"The men who enter that water, the legends don't end well."
624,Tony Stark,"A hacker who's faster than Ultron? He could be anywhere. And as this is the center of everything, I'm just a guy looking for a needle in the world's biggest haystack."
625,World Hub Tech,How do you find it?
626,Tony Stark,Pretty simple. You bring a magnet.
627,Heimdall,Wake up!
628,Erik Selvig,Thor!
629,Ultron,
630,Dr. Helen Cho,"Cellular cohesion will take a few hours, but we can initiate the consciousness stream. We're uploading your cerebral matrix...now."
631,Wanda Maximoff,I can read him. He is dreaming.
632,Dr. Helen Cho,"I wouldn't call it dreams. It's Ultron's base consciousness, informational noise. Soon..."
633,Ultron,How soon? I'm not being pushy.
634,Dr. Helen Cho,We're imprinting a physical brain. There are no shortcuts. Even if your magic gem is...
635,Wanda Maximoff,How could you?
636,Ultron,How could I what?
637,Wanda Maximoff,"You said we would destroy the Avengers, make a better world."
638,Ultron,It will be better.
639,Wanda Maximoff,When everyone is dead.
640,Ultron,That is not...! The human race will have every opportunity to improve.
641,Pietro Maximoff,And if they don't?
642,Ultron,Ask Noah.
643,Wanda Maximoff,You're a madman.
644,Ultron,"There were more than a dozen extinction level events before even the dinosaurs got theirs. When the Earth starts to settle, God throws a stone at it, and believe me, he's winding up. We have to evolve. There's no room for the weak."
645,Pietro Maximoff,And who decides who's weak?
646,Ultron,Life. Life always decides. There's incoming. The Quinjet. We have to move.
647,Dr. Helen Cho,That's not a problem.
648,Ultron,"Ah, wait, guys!."
649,Steve Rogers,Dr. Cho!
650,Dr. Helen Cho,He's uploading himself into the body.
651,Steve Rogers,Where?
652,Dr. Helen Cho,"The real power is inside the Cradle. The gem, its power is uncontainable. You can't just blow it up. You have to get the Cradle to Stark."
653,Steve Rogers,First I have to find it.
654,Dr. Helen Cho,Go.
655,Steve Rogers,Did you guys copy that?
656,Clint Barton,We did.
657,Natasha Romanoff,"I got a private jet taking off, across town, no manifest. That could be him."
658,Clint Barton,"There. It's the truck from the lab. Right above you, Cap. On the loop by the bridge. It's them. I got three with the Cradle, one in the cab. I could take out the driver."
659,Steve Rogers,"Negative! If that truck crashes, the gem could level the city. We need to draw out Ultron."
660,Ultron,"No, no, no, no, no. Leave me alone!"
661,Steve Rogers,"Well, he's definitely unhappy! I'm gonna try and keep him that way."
662,Clint Barton,"You're not a match for him, Cap."
663,Steve Rogers,"Thanks, Barton."
664,Ultron,"You know what's in that Cradle? The power to make real change, and that terrifies you."
665,Steve Rogers,I wouldn't call it a comfort.
666,Ultron,Stop it!
667,Clint Barton,
668,Natasha Romanoff,I'm always picking up after you boys.
669,Clint Barton,"They're heading under the overpass, I've got no shot."
670,Natasha Romanoff,Which way?
671,Clint Barton,Hard right... Now.
672,Natasha Romanoff,
673,Steve Rogers,Come on!
674,Natasha Romanoff,"Clint, can you draw out the guards?"
675,Clint Barton,Let's find out.
676,Natasha Romanoff,
677,Clint Barton,"Heading back towards you. So whatever you're going to do, do it now."
678,Natasha Romanoff,"I'm going in, Cap can you keep him occupied?"
679,Steve Rogers,
680,Clint Barton,The package is airborne. I have a clean shot.
681,Natasha Romanoff,Negative. I am still in the truck.
682,Clint Barton,What the hell are you...?
683,Natasha Romanoff,"Just be ready, I'm sending the package to you."
684,Clint Barton,How do you want me to take it?
685,Natasha Romanoff,"Uhh, you might wish you hadn't asked that."
686,Ultron,Please. Don't do this.
687,Wanda Maximoff,What choice do we have?
688,Steve Rogers,I lost him! He's headed your way.
689,Clint Barton,"Nat, we gotta go."
690,Clint Barton,"Nat! Cap, you see Nat?"
691,Steve Rogers,"If you have the package, get it to Stark! Go!"
692,Clint Barton,Do you have eyes on Nat?
693,Steve Rogers,Go!
694,Pietro Maximoff,I'm fine. I just need to take a minute.
695,Steve Rogers,I'm very tempted not to give you one.
696,Wanda Maximoff,"The Cradle, did you get it?"
697,Steve Rogers,Stark will take care of it.
698,Wanda Maximoff,"No, he won't."
699,Steve Rogers,"You don't know what you're talking about, Stark's not crazy."
700,Wanda Maximoff,He will do anything to make things right.
701,Steve Rogers,"Stark, come in. Stark. Anyone on comms?"
702,Wanda Maximoff,Ultron can't tell the difference between saving the world and destroying it. Where do you think he gets that?
703,Bruce Banner,Anything on Nat?
704,Tony Stark,"Haven't heard. But she's alive, or Ultron'd be rubbing our faces in it."
705,Clint Barton,This is sealed tight.
706,Bruce Banner,"We're going to need to access the program, break it down from within."
707,Tony Stark,"Hm. Any chance Natasha might leave you a message, outside the internet, old school spy stuff?"
708,Clint Barton,"There's some nets I can cast. Yeah, alright. I'll find her."
709,Bruce Banner,"I can work on tissue degeneration, if you can fry whatever operational system Cho implanted."
710,Tony Stark,"Yeah, about that."
711,Bruce Banner,No.
712,Tony Stark,You have to trust me.
713,Bruce Banner,Kinda don't.
714,Tony Stark,Our ally? The guy protecting the military's nuclear codes? I found him.
715,JARVIS,"Hello, Dr. Banner."
716,Tony Stark,"Ultron didn't go after JARVIS cause he was angry. He attacked him because he was scared of what he can do. So JARVIS went underground. Okay? Scattered, dumped his memory. But not his protocols. He didn't even know he was in there, until I pieced him together."
717,Bruce Banner,"So, you want me to help you put JARVIS into this thing?"
718,Tony Stark,"No, of course not! I want to help you put JARVIS in this thing.  We're out of my field here. You know bio-organics better than anyone."
719,Bruce Banner,And you just assume that JARVIS' operational matrix can beat Ultron's?
720,Tony Stark,"JARVIS has been beating him from inside without knowing it. This is the opportunity, we can create Ultron's perfect self, without the homicidal glitches he thinks are his winning personality. We have to."
721,JARVIS,I believe it's worth a go.
722,Bruce Banner,"No, I'm in a loop! I'm caught in a time loop, this is exactly where it all went wrong."
723,Tony Stark,"I know, I know. I know what everyone's going to say, but they're already saying it. We're mad scientists. We're monsters, buddy. You gotta own it. Make a stand.  It's not a loop. It's the end of the line."
724,Ultron,
725,Tony Stark,This framework is not compatible.
726,Bruce Banner,The genetic coding tower's at ninety-seven percent. You have got to upload that schematic in the next three minutes.
727,Steve Rogers,I'm gonna say this once.
728,Tony Stark,"How about ""nonce""?"
729,Steve Rogers,Shut it down!
730,Tony Stark,"Nope, not gonna happen."
731,Steve Rogers,You don't know what you're doing.
732,Bruce Banner,And you do? She's not in your head?
733,Wanda Maximoff,I know you're angry.
734,Bruce Banner,"Oh, we're way past that. I could choke the life out of you and never change a shade."
735,Steve Rogers,"Banner, after everything that's happened..."
736,Tony Stark,That's nothing compared to what's coming!
737,Wanda Maximoff,You don't know what's in there!
738,Steve Rogers,This isn't a game...
739,Wanda Maximoff,The creature...!
740,Pietro Maximoff,"No, no. Go on. You were saying?"
741,Wanda Maximoff,Pietro!
742,Clint Barton,What? You didn't see that coming?
743,Bruce Banner,
744,Vision,"I'm sorry, that was...odd.  Thank you."
745,Steve Rogers,"Thor, you helped create this?"
746,Thor,I've had a vision. A whirlpool that sucks in all hope of life and at it's center is that.
747,Bruce Banner,"What, the gem?"
748,Thor,"It's the Mind Stone. It's one of the six Infinity Stones, the greatest power in the universe, unparalleled in its destructive capabilities."
749,Steve Rogers,Then why would you bring it to...
750,Thor,Because Stark is right.
751,Bruce Banner,"Oh, it's definitely the end times."
752,Thor,The Avengers cannot defeat Ultron.
753,Vision,Not alone.
754,Steve Rogers,"Why does your ""vision"" sound like JARVIS?"
755,Tony Stark,We...we reconfigured JARVIS' matrix to create something new.
756,Steve Rogers,I think I've had my fill of new.
757,Vision,You think I'm a child of Ultron?
758,Steve Rogers,You're not?
759,Vision,I'm not Ultron. I'm not JARVIS. I am...I am.
760,Wanda Maximoff,I looked in your head and saw annihilation.
761,Vision,Look again.
762,Clint Barton,Yeah. Her seal of approval means jack to me.
763,Thor,"Their powers, the horrors in our heads, Ultron himself, they all came from the Mind Stone, and they're nothing compared to what it can unleash. But with it on our side..."
764,Steve Rogers,Is it? Are you? On our side?
765,Vision,I don't think it's that simple.
766,Clint Barton,Well it better get real simple real soon.
767,Vision,"I am on the side of life. Ultron isn't, he will end it all."
768,Tony Stark,What's he waiting for?
769,Vision,You.
770,Bruce Banner,Where?
771,Clint Barton,Sokovia. He's got Nat there too.
772,Bruce Banner,"If we're wrong about you, if you're the monster that Ultron made you to be..."
773,Vision,What will you do?
774,Thor,Right.  Well done.
775,Steve Rogers,
776,FRIDAY,"Good evening, boss."
777,Tony Stark,"No way we all get through this. If even one tin soldier is left standing, we've lost. It's gonna be blood on the floor."
778,Steve Rogers,I got no plans tomorrow night.
779,Tony Stark,I get first crack at the big guy. Iron Man's the one he's waiting for.
780,Vision,"That's true, he hates you the most."
781,Steve Rogers,"Ultron knows we're coming. Odds are we'll be riding into heavy fire, and that's what we signed up for. But the people of Sokovia, they didn't. So our priority is getting them out."
782,Pietro Maximoff,"We're under attack! Clear the city, now!"
783,Steve Rogers,"All they want is to live their lives in peace, and that's not going to happen today. But we can do our best to protect them. And we can get the job done, and find out what Ultron's been building. We find Romanoff, and we clear the field. Keep the fight between us. Ultron thinks we're monsters and we're what's wrong with the world. This isn't just about beating him. It's about whether he's right."
784,Bruce Banner,Natasha! Natasha!
785,Natasha Romanoff,Bruce?
786,Bruce Banner,You alright?
787,Natasha Romanoff,Yeah.
788,Bruce Banner,"The team's in the city, it's about to light up."
789,Natasha Romanoff,I don't suppose you found a key lying around somewhere?
790,Bruce Banner,"Yeah, I did."
791,Natasha Romanoff,So what's our play?
792,Bruce Banner,I'm here to get you to safety.
793,Natasha Romanoff,Job's not finished.
794,Bruce Banner,"We could help with the evacuation, but I can't be in a fight near civilians. And you've done plenty. Our fight is over."
795,Natasha Romanoff,So we just disappear?
796,FRIDAY,"Your man's in the church, boss. I think he's waiting for you."
797,Ultron,Come to confess your sins?
798,Tony Stark,"I don't know, how much time you got?"
799,Ultron,More than you.
800,Tony Stark,"Uhhh. Have you been juicing? A little Vibranium cocktail? You're looking, I don't wanna say, puffy..."
801,Ultron,You're stalling to protect the people.
802,Tony Stark,"Well, that is the mission. Did you forget?"
803,Ultron,"I've moved beyond your mission. I'm free.  What, you think you're the only one stalling?"
804,FRIDAY,There's the rest of the Vibranium. Function: still unclear.
805,Ultron,"This is how you end, Tony. This is peace in my time."
806,Steve Rogers,Go!
807,Wanda Maximoff,Get off the bridge! Run!
808,Vision,Ultron.
809,Ultron,My Vision. They really did take everything from me.
810,Vision,"You set the terms, you can change them."
811,Ultron,Alright.
812,Tony Stark,FRIDAY! The Vision?
813,FRIDAY,"Boss, it's working. He's burning Ultron out of the net, he won't escape through there."
814,Ultron,
815,Tony Stark,FRIDAY?
816,FRIDAY,Sokovia's going for a ride.
817,Ultron,"Do you see? The beauty of it, the inevitability. You rise, only to fall. You, Avengers, you are my meteor, my swift and terrible sword and the earth will crack with the weight of your failure. Purge me from your computers, turn my own flesh against me. It means nothing. When the dust settles, the only thing living in this world will be metal."
818,Bruce Banner,We gotta move.
819,Natasha Romanoff,You're not going to turn green?
820,Bruce Banner,I've got a compelling reason not to lose my cool.
821,Natasha Romanoff,I adore you.
822,FRIDAY,"The Vibranium core has got a magnetic field, that's what's keeping the rock together."
823,Tony Stark,If it drops?
824,FRIDAY,Right now the impact would kill thousands. Once it gets high enough: Global extinction.
825,Tony Stark,Hi. Okay. Get in the tub!
826,FRIDAY,"I got airborne, heading up to the bridge."
827,Tony Stark,"Cap, you got incoming."
828,Steve Rogers,"Incoming already came in. Stark, you worry about bringing the city back down safely. The rest of us have one job: tear these things apart. You get hurt, hurt 'em back. You get killed, walk it off."
829,Clint Barton,"Go, go, move!"
830,Wanda Maximoff,How could I let this happen?
831,Clint Barton,"Hey, hey, you okay?"
832,Wanda Maximoff,This is all our fault.
833,Clint Barton,"Hey, look at me. It's your fault, it's everyone's fault, who cares. Are you up for this? Are you? Look, I just need to know, cause the city is flying. Okay, look, the city is flying, we're fighting an army of robots, and I have a bow and arrow. None of this makes sense. But I'm going back out there because it's my job. Okay? And I can't do my job and babysit. It doesn't matter what you did, or what you were. If you go out there, you fight, and you fight to kill. Stay in here, you're good, I'll send your brother to come find you, but if you step out that door, you are an Avenger."
834,Steve Rogers,
835,Ultron,You can't save them all. You'll never...
836,Steve Rogers,"You'll never what? You didn't finish!  What, were you napping?"
837,Ultron,
838,Clint Barton,"Alright, we're all clear here."
839,Steve Rogers,We are not clear! We are very not clear!
840,Clint Barton,"Alright, coming to you."
841,Pietro Maximoff,Keep up old man!
842,Clint Barton,"Nobody would know. Nobody. ""The last I saw him, when Ultron was sitting on him. Uh...yeah, he'll be missed, that quick little bastard. I miss him already."""
843,Steve Rogers,
844,Natasha Romanoff,Thanks.
845,FRIDAY,"The anti-gravs are rigged to flip. Touch 'em, they'll go full reverse thrust. The city's not coming down slow."
846,Tony Stark,The spire's Vibranium. If I get Thor to hit it...
847,FRIDAY,"It'll crack, but that's not enough, the impact would still be devastating."
848,Tony Stark,"Maybe if we cap the other end, keep the atomic action doubling back."
849,FRIDAY,"That could vaporize the city, and everyone on it."
850,Steve Rogers,"The next wave's gonna hit any minute. What have you got, Stark?"
851,Tony Stark,"Well, nothing great. Maybe a way to blow up the city. That'll keep it from impacting the surface if you guys can get clear."
852,Steve Rogers,"I asked for a solution, not an escape plan."
853,Tony Stark,Impact radius is getting bigger every second. We're going to have to make a choice.
854,Natasha Romanoff,"Cap, these people are going nowhere. If Stark finds a way to blow this rock..."
855,Steve Rogers,Not 'til everyone's safe.
856,Natasha Romanoff,Everyone up here versus everyone down there? There's no math there.
857,Steve Rogers,I'm not leaving this rock with one civilian on it.
858,Natasha Romanoff,I didn't say we should leave.  There's worse ways to go. Where else am I gonna get a view like this?
859,Nick Fury,"Nice, right? I pulled her out of mothballs with a couple of old friends. She's dusty, but she'll do."
860,Steve Rogers,"Fury, you son of a bitch."
861,Nick Fury,Oooh! You kiss your mother with that mouth?
862,Maria Hill,Altitude is eighteen thousand and climbing.
863,Specialist Cameron Klein,"Lifeboats secure to deploy. Disengage in three, two...take 'em out."
864,Pietro Maximoff,This is SHIELD?
865,Steve Rogers,This is what SHIELD's supposed to be.
866,Pietro Maximoff,This is not so bad.
867,Steve Rogers,Let's load 'em up.
868,Maria Hill,"Sir, we have multiple bogies converging on our starboard flank."
869,Nick Fury,Show 'em what we got.
870,Maria Hill,You're up.
871,James Rhodes,Yes! Now this is gonna be a good story.
872,Tony Stark,Yep. If you live to tell it.
873,James Rhodes,You think I can't hold my own?
874,Tony Stark,"We get through this, I'll hold your own."
875,James Rhodes,You had to make it weird.
876,Clint Barton,"Alright, let's load 'em up! Alright, here we go. Here we go, let's move. Let's go everyone!"
877,Specialist Cameron Klein,"Number six boat is topped and locked. Or, uh, or stocked, topped. It...it's, uh, full of people."
878,Maria Hill,Incoming!
879,Specialist Cameron Klein,"Oh, God!"
880,Ultron,You think you're saving anyone? I turn that key and drop this rock a little early and it's still billions dead. Even you can't stop that.
881,Thor,"I am Thor, son of Odin, and as long as there is life in my breast, I am...running out of things to say! Are you ready?"
882,Vision,It's terribly well balanced.
883,Thor,"Well, if there's too much weight, you lose power on the swing, so."
884,Tony Stark,I got it! Create a heat seal. I can...I can supercharge the spire from below.
885,FRIDAY,Running numbers.  A heat seal could work with enough power.
886,Tony Stark,"Thor, I got a plan!"
887,Thor,We're out of time. They're coming for the core.
888,Tony Stark,"Rhodey, get the rest of the people on board that carrier."
889,James Rhodes,On it.
890,Tony Stark,"Avengers, time to work for a living."
891,Pietro Maximoff,You good?
892,Wanda Maximoff,Yeah.
893,Tony Stark,"Romanoff? You and Banner better not be playing ""hide the zucchini."""
894,Natasha Romanoff,"Relax, Shell-head. Not all of us can fly.  What's the drill?"
895,Tony Stark,
896,Thor,Is that the best you can do?
897,Steve Rogers,You had to ask.
898,Ultron,"This is the best I can do. This is exactly what I wanted. All of you, against all of me. How could you possibly hope to stop me?"
899,Tony Stark,"Well, like the old man said. Together."
900,Ultron,"You know, with the benefit of hindsight...."
901,Thor,They'll try to leave the city.
902,Tony Stark,"We can't let 'em, not even one. Rhodey!"
903,James Rhodes,"I'm on it.  Okay, what?"
904,Steve Rogers,"We gotta move out. Even I can tell the air is getting thin. You guys get to the boats, I'll sweep for stragglers, be right behind you."
905,Clint Barton,What about the core?
906,Wanda Maximoff,I'll protect it. It's my job.
907,Wanda Maximoff,Get the people on the boats.
908,Pietro Maximoff,I'm not going to leave you here.
909,Wanda Maximoff,"I can handle this.  Come back for me when everyone else is off, not before."
910,Pietro Maximoff,Hmm.
911,Wanda Maximoff,You understand?
912,Pietro Maximoff,"You know, I'm twelve minutes older than you."
913,Wanda Maximoff,Go.
914,FRIDAY,"Boss, power levels are way below opt..."
915,Tony Stark,Re-route everything. We get one shot at this.
916,Clint Barton,"I know what I need to do. The dining room! If I knock out that east wall, it'll make a nice work space for Laura, huh? Put up some baffling, she can't hear the kids running around, what do you think?"
917,Natasha Romanoff,You guys always eat in the kitchen anyway.
918,Clint Barton,No one eats in a dining room.  We don't have a lot of time.
919,Natasha Romanoff,So get your ass on a boat.
920,Zrinka,Costel? We were in the market. Costel?!
921,Tony Stark,"Thor, I'm gonna need you back in the church."
922,Thor,Is this the last of them?
923,Steve Rogers,Yeah. Everyone else is on the carrier.
924,Tony Stark,"You know, if this works, we maybe don't walk away."
925,Thor,Maybe not.
926,Ultron,
927,Pietro Maximoff,You didn't see that coming.
928,Ultron,"Oh, for God's sake!"
929,Clint Barton,"No, no. I'm fine."
930,Ultron,"Wanda, if you stay here, you'll die."
931,Wanda Maximoff,I just did. Do you know how it felt?
932,Tony Stark,"Thor, on my mark."
933,Natasha Romanoff,
934,Vision,You're afraid.
935,Ultron,Of you?
936,Vision,Of death. You're the last one.
937,Ultron,"You were supposed to be the last. Stark asked for a savior, and settled for a slave."
938,Vision,I suppose we're both disappointments.
939,Ultron,I suppose we are.
940,Vision,"Humans are odd. They think order and chaos are somehow opposites, and try to control what won't be. But there is grace in their failings. I think you missed that."
941,Ultron,They're doomed.
942,Vision,Yes. But a thing isn't beautiful because it lasts. It's a privilege to be among them.
943,Ultron,You're unbearably naive.
944,Vision,"Well, I was born yesterday."
945,Laura Barton,
946,Natasha Romanoff,Fat.
947,Nick Fury,"One of our tech boys flagged this, splashed down in the Banda Sea. Could be the Quinjet. But with Stark's stealth tech, we still can't track the damn thing."
948,Natasha Romanoff,Right.
949,Nick Fury,Probably jumped out and swam to Fiji. He'll send a postcard.
950,Natasha Romanoff,"""Wish you were here."" You sent me to recruit him, way back when. Did you know then what was going to happen?"
951,Nick Fury,You never know. You hope for the best and make do with what you get. I got a great team.
952,Natasha Romanoff,Nothing lasts forever.
953,Nick Fury,"Trouble, Miss Romanoff. No matter who wins or loses, trouble still comes around."
954,Steve Rogers,The rules have changed.
955,Tony Stark,We're dealing with something new.
956,Steve Rogers,"Well, the Vision's artificial intelligence."
957,Tony Stark,A machine.
958,Steve Rogers,So it doesn't count.
959,Tony Stark,No. It's not like a person lifting the hammer.
